Species,Fruit_type,Fruit_type_and_notes,Notes,References
Alchemilla_gracilipes,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_johnstonii,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_pedata,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_dewildemanii,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_roccatii,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_andringitrensis,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_aphanoides,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_vulcanica,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_jamesonii,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_hirta,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_procumbens,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_heptagona,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_flabellata,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_aranica,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_mollis,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_fissa,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_retinervis,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_incisa,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_indivisa,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_tenerifolia,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_epipsila,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_catachnoa,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_fallax,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_coriacea,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_vetteri,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_erythropoda,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_oscensis,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_colorata,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_xanthochlora,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_montserratii,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_plicata,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_schmidelyana,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_longana,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_tenuis,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_hispanica,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_hybrida,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_crinita,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_ilerdensis,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_glabra,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_japonica,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_filicaulis,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_transiens,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_saxatilis,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_sp,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_faeroensis,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_grenieri,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_angustata,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_alpina,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_charbonneliana,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_atriuscula,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_glacialis,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_subsericea,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_decumbens,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_pentaphyllea,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Aphanes_microcarpa,Dry,Achene or achenetum,,Feng et al. (2017)
Aphanes_minutiflora,Dry,Achene or achenetum,,Feng et al. (2017)
Aphanes_arvensis,Dry,Achene or achenetum,,Feng et al. (2017)
Aphanes_sp,Dry,Achene or achenetum,,Feng et al. (2017)
Aphanes_cornucopioides,Dry,Achene or achenetum,,Feng et al. (2017)
Aphanes_australis,Dry,Achene or achenetum,,Feng et al. (2017)
Alchemilla_polylepis,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_ocreata,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_splendens,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_sprucei,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_hispidula,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_nivalis,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Lachemilla_holmgrenii,Dry,Achene or achenetum,,Feng et al. (2017)
Lachemilla_llanganatensis,Dry,Achene or achenetum,,Feng et al. (2017)
Alchemilla_galioides,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_holosericea,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_verticillata,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Lachemilla_angustata,Dry,Achene or achenetum,,Feng et al. (2017)
Alchemilla_tanacetifolia,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_pinnata,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_mandoniana,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Lachemilla_uniflora,Dry,Achene or achenetum,,Feng et al. (2017)
Alchemilla_diplophylla,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_pectinata,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_fulvescens,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_propinqua,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Alchemilla_rupestris,Dry,Achenetum,"""a dry achene""",Kalkman (2004); Xiang et al. (2016)
Comarum_salesovianum,Dry,Achenetum,Note: receptacle is somewhat spongy,Kalkman (2004); Xiang et al. (2016)
Comarum_palustre,Dry,Achenetum,Note: receptacle is somewhat spongy,Kalkman (2004); Xiang et al. (2016)
Fragaria_chiloensis,Fleshy,Achenetum,note: enlarged torus,Kalkman (2004)
Fragaria_virginiana,Fleshy,Achenetum,note: enlarged torus,Kalkman (2004)
Fragaria_moschata,Fleshy,Achenetum,note: enlarged torus,Kalkman (2004)
Fragaria_mandshurica,Fleshy,Achenetum,note: enlarged torus,Kalkman (2004)
Fragaria_vesca,Fleshy,Achenetum,note: enlarged torus,Kalkman (2004)
Fragaria_sp,Fleshy,Achenetum,note: enlarged torus,Kalkman (2004)
Fragaria_daltoniana,Fleshy,Achenetum,note: enlarged torus,Kalkman (2004)
Fragaria_nilgerrensis,Fleshy,Achenetum,note: enlarged torus,Kalkman (2004)
Fragaria_tibetica,Fleshy,Achenetum,note: enlarged torus,Kalkman (2004)
Fragaria_orientalis,Fleshy,Achenetum,note: enlarged torus,Kalkman (2004)
Fragaria_nipponica,Fleshy,Achenetum,note: enlarged torus,Kalkman (2004)
