,species,mean_temp,se_temp,within_sp_var_temp,mean_prec,se_prec,within_sp_var_prec,mean_pet,se_pet,within_sp_var_pet,mean_aridity,se_aridity,within_sp_var_aridity,Fruit_type
119,Cliffortia_juniperina,5.669275,0.003111,3.60E-05,5.904663,0.165147,0.036922,7.507778,0.056337,0.008067,7.636924,0.167981,0.03921,Dry
120,Cliffortia_lanceolata,5.652665,NA,0.000182,6.4708,NA,0.184609,7.400621,NA,0.040334,7.891705,NA,0.196052,Dry
121,Cliffortia_lepida,5.650909,NA,0.000182,6.807935,NA,0.184609,7.396949,NA,0.040334,8.326275,NA,0.196052,Dry
122,Cliffortia_linearifolia,5.663395,0.001627,7.00E-06,6.678473,0.067936,0.0071,7.402516,0.020803,0.001551,8.414559,0.077118,0.00754,Dry
123,Cliffortia_marginata,5.671431,NA,0.000182,7.015712,NA,0.184609,7.382746,NA,0.040334,8.377011,NA,0.196052,Dry
124,Cliffortia_micrantha,5.658958,0.001743,9.10E-05,6.0456,0.076893,0.092305,7.550028,0.042338,0.020167,7.510016,0.175687,0.098026,Dry
125,Cliffortia_monophylla,5.665907,0.000346,9.10E-05,6.568575,0.262299,0.092305,7.353384,0.006084,0.020167,8.433771,0.104596,0.098026,Dry
126,Cliffortia_montana,5.651247,0.002585,3.60E-05,6.11573,0.047765,0.036922,7.437847,0.027091,0.008067,7.882202,0.082703,0.03921,Dry
127,Cliffortia_multiformis,5.667291,NA,0.000182,6.298949,NA,0.184609,7.312553,NA,0.040334,8.235891,NA,0.196052,Dry
128,Cliffortia_neglecta,5.655727,0.003635,2.60E-05,6.151087,0.114535,0.026373,7.460733,0.023207,0.005762,7.829649,0.100007,0.028007,Dry
129,Cliffortia_nitidula,5.669331,0.003564,1.70E-05,7.238009,0.08032,0.016783,7.287263,0.050769,0.003667,9.027054,0.111053,0.017823,Dry
130,Cliffortia_nivenioides,5.643147,NA,0.000182,5.945421,NA,0.184609,7.398174,NA,0.040334,8.010028,NA,0.196052,Dry
131,Cliffortia_obcordata,5.670743,NA,0.000182,6.520621,NA,0.184609,7.375256,NA,0.040334,8.18535,NA,0.196052,Dry
132,Cliffortia_obovata,5.660353,NA,0.000182,6.490724,NA,0.184609,7.404888,NA,0.040334,8.358901,NA,0.196052,Dry
133,Cliffortia_odorata,5.664348,0.002885,2.60E-05,6.566904,0.177882,0.026373,7.395775,0.027977,0.005762,8.112789,0.114811,0.028007,Dry
134,Cliffortia_oligodonta,5.641375,NA,0.000182,7.044033,NA,0.184609,7.393878,NA,0.040334,8.263075,NA,0.196052,Dry
135,Cliffortia_ovalis,5.64527,NA,0.000182,7.412764,NA,0.184609,7.363914,NA,0.040334,8.423542,NA,0.196052,Dry
136,Cliffortia_paucistaminea,5.664619,0.00243,1.20E-05,6.77964,0.066715,0.012307,7.395208,0.014106,0.002689,8.424366,0.078075,0.01307,Dry
137,Cliffortia_pedunculata,5.662092,NA,0.000182,6.99851,NA,0.184609,7.428927,NA,0.040334,8.530899,NA,0.196052,Dry
138,Cliffortia_phillipsii,5.662787,NA,0.000182,7.233455,NA,0.184609,7.395722,NA,0.040334,8.564458,NA,0.196052,Dry
139,Cliffortia_phyllanthoides,5.671431,NA,0.000182,5.996452,NA,0.184609,7.309881,NA,0.040334,8.126518,NA,0.196052,Dry
140,Cliffortia_pilifera,5.664522,NA,0.000182,6.586172,NA,0.184609,7.491645,NA,0.040334,8.146419,NA,0.196052,Dry
141,Cliffortia_polita,5.653245,0.00207,6.10E-05,6.316975,0.237507,0.061536,7.44418,0.025478,0.013445,7.937103,0.149738,0.065351,Dry
142,Cliffortia_polygonifolia,5.666587,0.002863,4.60E-05,6.273262,0.227487,0.046152,7.436157,0.047006,0.010084,7.960684,0.169698,0.049013,Dry
143,Cliffortia_prionota,5.671431,NA,0.000182,7.015712,NA,0.184609,7.382746,NA,0.040334,8.377011,NA,0.196052,Dry
144,Cliffortia_propinqua,5.664124,0.010058,9.10E-05,6.299132,0.338126,0.092305,7.568364,0.068388,0.020167,7.548396,0.305597,0.098026,Dry
145,Cliffortia_pulchella,5.666709,0.002541,6.10E-05,5.868668,0.169177,0.061536,7.508928,0.033916,0.013445,7.630431,0.085268,0.065351,Dry
146,Cliffortia_pungens,5.640665,NA,0.000182,6.084499,NA,0.184609,7.411556,NA,0.040334,7.918265,NA,0.196052,Dry
147,Cliffortia_ramosissima,5.66206,0.002076,1.10E-05,6.048925,0.064382,0.011538,7.46884,0.019545,0.002521,7.837939,0.083454,0.012253,Dry
148,Cliffortia_repens,5.656348,0.001815,2.00E-05,6.932469,0.048111,0.020512,7.342207,0.015949,0.004482,8.715756,0.055646,0.021784,Dry
149,Cliffortia_robusta,5.662009,0.012859,9.10E-05,5.618915,0.454129,0.092305,7.454919,0.060426,0.020167,7.49442,0.332023,0.098026,Dry
