Species,Fruit_type,Dispersal_mode_detailed,Fruit_type_and_notes,Notes,References,,Solanum clade
Schizanthus_laetus,Dry,,Capsule,,Knapp (2002),,
Goetzea_ekmanii,Fleshy,,Drupe,"Note: ""fleshy, usually round to pyriform, shiny orange drupe""",Knapp (2002); Santiago-Valentin and Olmstead (2003),,
Goetzea_elegans,Fleshy,,Drupe,"Note: ""fleshy, usually round to pyriform, shiny orange drupe""",Knapp (2002); Santiago-Valentin and Olmstead (2003),,
Espadaea_amoena,Fleshy,,Drupe,"Note: ""fleshy, usually round to pyriform, shiny orange drupe""",Knapp (2002); Santiago-Valentin and Olmstead (2003),,
Coeloneurum_ferrugineum,Fleshy,,Drupe,"Note: ""fleshy, usually round to pyriform, shiny orange drupe""",Knapp (2002); Santiago-Valentin and Olmstead (2003),,
Henoonia_myrtifolia,Fleshy,,Drupe,"Note: ""fleshy, usually round to pyriform, shiny orange drupe""",Knapp (2002); Santiago-Valentin and Olmstead (2003),,
Metternichia_princeps,Dry,,Capsule,,Knapp (2002),,
Metternichia_sp,Dry,,Capsule,,Knapp (2002),,
Tsoala_tubiflora,Dry,,,"Note: ""a woody capsule""",D'Arcy (1992),,
Reyesia_sp,Dry,,Capsule,,Knapp (2002),,
Duckeodendron_cestroides,Fleshy,,Drupe,Note: possibly dispersed by large monkeys or extinct megafauna,"Knapp (2002), Cramer et al.,(2007)",,
Heteranthia_decipiens,Dry,,Capsule,,Knapp (2002),,
Melananthus_guatemalensis,Dry,,Capsule,,Knapp (2002),,
Schwenckia_glabrata,Dry,,Capsule,,Knapp (2002),,
Schwenckia_lateriflora,Dry,,Capsule,,Knapp (2002),,
Cestrum_laxum,Fleshy,,Berry,,Knapp (2002),,
Cestrum_oblongifolium,Fleshy,,Berry,,Knapp (2002),,
Cestrum_miradorense,Fleshy,,Berry,,Knapp (2002),,
Cestrum_thyrsoideum,Fleshy,,Berry,,Knapp (2002),,
Cestrum_virgaurea,Fleshy,,Berry,,Knapp (2002),,
Cestrum_elegans,Fleshy,,Berry,,Knapp (2002),,
Cestrum_roseum,Fleshy,,Berry,,Knapp (2002),,
Cestrum_endlicheri,Fleshy,,Berry,,Knapp (2002),,
Cestrum_fasciculatum,Fleshy,,Berry,,Knapp (2002),,
Cestrum_aurantiacum,Fleshy,,Berry,,Knapp (2002),,
Cestrum_regelii,Fleshy,,Berry,,Knapp (2002),,
Cestrum_nocturnum,Fleshy,,Berry,,Knapp (2002),,
Cestrum_dasyanthum,Fleshy,,Berry,,Knapp (2002),,
Cestrum_pacayense,Fleshy,,Berry,,Knapp (2002),,
Cestrum_guatemalense,Fleshy,,Berry,,Knapp (2002),,
Cestrum_fulvescens,Fleshy,,Berry,,Knapp (2002),,
Cestrum_luteovirescens,Fleshy,,Berry,,Knapp (2002),,
Cestrum_chiriquianum,Fleshy,,Berry,,Knapp (2002),,
Cestrum_fragile,Fleshy,,Berry,,Knapp (2002),,
Cestrum_irazuense,Fleshy,,Berry,,Knapp (2002),,
Cestrum_tuerckheimii,Fleshy,,Berry,,Knapp (2002),,
Cestrum_violaceum,Fleshy,,Berry,,Knapp (2002),,
Cestrum_sphaerocarpum,Fleshy,,Berry,,Knapp (2002),,
Cestrum_mortonianum,Fleshy,,Berry,,Knapp (2002),,
Cestrum_acutifolium,Fleshy,,Berry,,Knapp (2002),,
Cestrum_milciomejiae,Fleshy,,Berry,,Knapp (2002),,
Cestrum_glanduliferum,Fleshy,,Berry,,Knapp (2002),,
Cestrum_tomentosum,Fleshy,,Berry,,Knapp (2002),,
Cestrum_inclusum,Fleshy,,Berry,,Knapp (2002),,
Cestrum_poasanum,Fleshy,,Berry,,Knapp (2002),,
Cestrum_diurnum,Fleshy,,Berry,,Knapp (2002),,
Cestrum_macrophyllum,Fleshy,,Berry,,Knapp (2002),,
Cestrum_pittieri,Fleshy,,Berry,,Knapp (2002),,
Cestrum_megalophyllum,Fleshy,,Berry,,Knapp (2002),,
Cestrum_strigilatum,Fleshy,,Berry,,Knapp (2002),,
Cestrum_rigidum,Fleshy,,Berry,,Knapp (2002),,
Vestia_foetida,Dry,,Capsule,,Knapp (2002),,
Sessea_stipulata,Dry,,Capsule,,Knapp (2002),,
Sessea_vestita,Dry,,Capsule,,Knapp (2002),,
Sessea_corymbiflora,Dry,,Capsule,,Knapp (2002),,
Vestia_lycioides,Dry,,Capsule,,Knapp (2002),,
Browallia_speciosa,Dry,,Capsule,,Knapp (2002),,
Streptosolen_jamesonii,Dry,,Capsule,,Knapp (2002),,
Browallia_eludens,Dry,,Capsule,,Knapp (2002),,
Protoschwenkia_mandonii,Dry,,Capsule,,Knapp (2002),,
Salpiglossis_sinuata,Dry,,Capsule,,Knapp (2002),,
Benthamiella_patagonica,Dry,,Capsule,,Knapp (2002),,
Pantacantha_ameghinoi,Dry,,Capsule,,Knapp (2002),,
Benthamiella_skottsbergii,Dry,,Capsule,,Knapp (2002),,
Combera_paradoxa,Dry,,Capsule,,Knapp (2002),,
Ipomoea,remove,,remove,Note: outgroup,,,
