Species,Fruit_type,Dispersal_mode_detailed,Fruit_type_and_notes,Notes,References,,Solanum clade
Tzeltalia_amphitricha,Fleshy,,Berry,,Estrada & Martinez 1998,,
Tzeltalia_calidaria,Fleshy,,Berry,,Estrada & Martinez 1998,,
Leucophysalis_grandiflora,Fleshy,,Berry,,Knapp 2002,,
Leucophysalis_nana,Fleshy,,Berry,,Knapp 2002,,
Oryctes_nevadensis,Dry,,Dry berry,,Knapp 2002,,
Iochroma_cyaneum,Fleshy,,Berry,,Knapp 2002,,
Iochroma_loxense,Fleshy,,Berry,,Knapp 2002,,
Iochroma_cornifolium,Fleshy,,Berry,,Knapp 2002,,
Acnistus_arborescens,Fleshy,,Berry,,Knapp 2002,,
Iochroma_stenanthum,Fleshy,,Berry,,Knapp 2002,,
Iochroma_ellipticum,Fleshy,,Berry,,Knapp 2002,,
Iochroma_confertiflorum,Fleshy,,Berry,,Knapp 2002,,
Iochroma_edule,Fleshy,,Berry,,Knapp 2002,,
Iochroma_salpoanum,Fleshy,,Berry,,Knapp 2002,,
Iochroma_lehmannii,Fleshy,,Berry,,Knapp 2002,,
Iochroma_squamosum,Fleshy,,Berry,,Knapp 2002,,
Iochroma_calycinum,Fleshy,,Berry,,Knapp 2002,,
Iochroma_fuchsioides,Fleshy,,Berry,,Knapp 2002,,
Iochroma_gesnerioides,Fleshy,,Berry,,Knapp 2002,,
Iochroma_nitidum,Fleshy,,Berry,,Knapp 2002,,
Iochroma_umbellatum,Fleshy,,Berry,,Knapp 2002,,
Iochroma_grandiflorum,Fleshy,,Berry,,Knapp 2002,,
Eriolarynx_lorentzii,Fleshy,,Berry,,Knapp 2002,,
Iochroma_australe,Fleshy,,Berry,,Knapp 2002,,
Eriolarynx_fasciculata,Fleshy,,Berry,,Knapp 2002,,
Dunalia_brachyacantha,Fleshy,,Berry,,Knapp 2002,,
Iochroma_parvifolium,Fleshy,,Berry,,Knapp 2002,,
Vassobia_breviflora,Fleshy,,Berry,,Knapp 2002,,
Vassobia_dichotoma,Fleshy,,Berry,,Knapp 2002,,
Dunalia_spinosa,Fleshy,,Berry,,Knapp 2002,,
Dunalia_obovata,Fleshy,,Berry,,Knapp 2002,,
Dunalia_spathulata,Fleshy,,Berry,,Knapp 2002,,
Saracha_punctata,Fleshy,,Berry,,Knapp 2002,,
Saracha_quitensis,Fleshy,,Berry,,Knapp 2002,,
Dunalia_solanacea,Fleshy,,Berry,,Knapp 2002,,
Deprea_sylvaticum,Fleshy,,Berry,,Knapp 2002,,
Larnax_subtriflora,Fleshy,,Berry,,Knapp 2002,,
Larnax_sachapapa,Fleshy,,Berry,,Knapp 2002,,
Larnax_sylvarum,Fleshy,,Berry,,Knapp 2002,,
Deprea_bitteriana,Fleshy,,Berry,,Knapp 2003,,
Deprea_paneroi,Fleshy,,Berry,,Knapp 2004,,
Larnax_dilloniana,Fleshy,,Berry,,Knapp 2005,,
Larnax_hawkesii,Fleshy,,Berry,,Knapp 2006,,
Larnax_nieva,Fleshy,,Berry,,Knapp 2007,,
Larnax_psilophyta,Fleshy,,Berry,,Knapp 2008,,
Larnax_purpurea,Fleshy,,Berry,,Knapp 2009,,
Larnax_suffruticosa,Fleshy,,Berry,,Knapp 2010,,
Deprea_orinocensis,Fleshy,,Berry,,Knapp 2011,,
Larnax_parviflora,Fleshy,,Berry,,Knapp 2012,,
Larnax_peruviana,Fleshy,,Berry,,Knapp 2013,,
Withania_coagulans,Fleshy,,Berry,,Knapp 2002,,
Withania_somnifera,Fleshy,,Berry,,Knapp 2002,,
Mellissia_begoniifolia,Dry,,,,Fay et al. 2007,,
Discopodium_penninervium,Fleshy,,Berry,,Knapp 2002,,
Nothocestrum_latifolium,Fleshy,,Berry,,Knapp 2002,,
Nothocestrum_longifolium,Fleshy,,Berry,,Knapp 2002,,
Athenaea_pogogena,Fleshy,,Berry,,Knapp 2002,,
Athenaea_sp,Fleshy,,Berry,,Knapp 2002,,
Aureliana_fasciculata,Fleshy,,Berry,,Knapp 2002,,
Cuatresia_exiguiflora,Fleshy,,Berry,,Knapp 2002,,
Cuatresia_riparia,Fleshy,,Berry,,Knapp 2002,,
Witheringia_cuneata,Fleshy,,,,https://biogeodb.stri.si.edu/bioinformatics/dfm/metas/view/27877,,
Capsicum_frutescens,Fleshy,,Berry,,Knapp 2002,,
Capsicum_galapagoense,Fleshy,,Berry,,Knapp 2002,,
Capsicum_chinense,Fleshy,,Berry,,Knapp 2002,,
Capsicum_annuum,Fleshy,,Berry,,Knapp 2002,,
Capsicum_baccatum,Fleshy,,Berry,,Knapp 2002,,
Capsicum_coccineum,Fleshy,,Berry,,Knapp 2002,,
Capsicum_chacoense,Fleshy,,Berry,,Knapp 2002,,
Capsicum_tovarii,Fleshy,,Berry,,Knapp 2002,,
Capsicum_pubescens,Fleshy,,Berry,,Knapp 2002,,
Capsicum_cardenasii,Fleshy,,Berry,,Knapp 2002,,
Capsicum_eximium,Fleshy,,Berry,,Knapp 2002,,
Capsicum_ceratocalyx,Fleshy,,Berry,,Knapp 2002,,
Capsicum_minutiflorum,Fleshy,,Berry,,Knapp 2002,,
Capsicum_flexuosum,Fleshy,,Berry,,Knapp 2002,,
Capsicum_hunzikerianum,Fleshy,,Berry,,Knapp 2002,,
Capsicum_recurvatum,Fleshy,,Berry,,Knapp 2002,,
Capsicum_schottianum,Fleshy,,Berry,,Knapp 2002,,
Capsicum_pereirae,Fleshy,,Berry,,Knapp 2002,,
Capsicum_villosum,Fleshy,,Berry,,Knapp 2002,,
Capsicum_campylopodium,Fleshy,,Berry,,Knapp 2002,,
Capsicum_ciliatum,Fleshy,,Berry,,Knapp 2002,,
Capsicum_rhomboideum,Fleshy,,Berry,,Knapp 2002,,
Capsicum_lanceolatum,Fleshy,,Berry,,Knapp 2002,,
Capsicum_geminifolium,Fleshy,,Berry,,Knapp 2002,,
Capsicum_lycianthoides,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_dejecta,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_peduncularis,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_rzedowskii,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_moziniana,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_acapulcensis,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_ciliolata,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_asarifolia,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_acutifolia,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_inaequilatera,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_amatitlanensis,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_radiata,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_jelskii,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_fasciculata,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_saltensis,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_lycioides,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_rantonnei,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_geminiflora,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_heteroclita,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_tricolor,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_stephanocalyx,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_lenta,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_jalicensis,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_surotatensis,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_nitida,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_furcatistellata,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_multiflora,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_glandulosa,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_pseudolycioides,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_beckneriana,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_pringlei,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_sanctaeclarae,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_synanthera,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_biflora,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_denticulata,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_lysimachioides,Fleshy,,Berry,,Knapp 2002,,
Lycianthes_shanesii,Fleshy,,Berry,,Knapp 2002,,
Nectouxia_formosa,Fleshy,,Berry,,Knapp 2002,,
Salpichroa_origanifolia,Fleshy,,Berry,,Knapp 2002,,
Datura_ceratocaula,Dry,,Capsule,,Knapp 2002,,
Datura_rosei,Dry,,Capsule,,Knapp 2002,,
Datura_laevis,Dry,,Capsule,,Knapp 2002,,
Datura_bernhardii,Dry,,Capsule,,Knapp 2002,,
Datura_stramonium,Dry,,Capsule,,Knapp 2002,,
Datura_ferox,Dry,,Capsule,,Knapp 2002,,
Datura_quercifolia,Dry,,Capsule,,Knapp 2002,,
Datura_inoxia,Dry,,Capsule,,Knapp 2002,,
Datura_leichhardtii,Dry,,Capsule,,Knapp 2002,,
Datura_discolor,Dry,,Capsule,,Knapp 2002,,
Datura_metel,Dry,,Capsule,,Knapp 2002,,
Brugmansia_arborea,Fleshy,,Berry,,Knapp 2002,,
Brugmansia_aurea,Fleshy,,Berry,,Knapp 2002,,
Brugmansia_sanguinea,Fleshy,,Berry,,Knapp 2002,,
Iochroma_cardenasianum,Fleshy,,Berry,,Knapp 2002,,
Nicandra_physalodes,Fleshy,,Berry,,Knapp 2002,,
Mandragora_autumnalis,Fleshy,,Berry,,Knapp 2002,,
Mandragora_turcomanica,Fleshy,,Berry,,Knapp 2002,,
Mandragora_officinarum,Fleshy,,Berry,,Knapp 2002,,
Mandragora_caulescens,Fleshy,,Berry,,Knapp 2002,,
Mandragora_chinghaiensis,Fleshy,,Berry,,Knapp 2002,,
Trianaea_sp,Fleshy,,Berry,,Knapp 2002,,
Trianaea_speciosa,Fleshy,,Berry,,Knapp 2002,,
Juanulloa_mexicana,Fleshy,,Berry,,Knapp 2002,,
Markea_panamensis,Fleshy,,Berry,,Knapp 2002,,
Markea_ulei,Fleshy,,Berry,,Knapp 2002,,
Merinthopodium_neuranthum,Fleshy,,Berry,,Knapp 2002,,
Dyssochroma_viridiflora,Fleshy,,Berry,,Knapp 2002,,
Solandra_brachycalyx,Fleshy,,Berry,,Knapp 2002,,
Solandra_grandiflora,Fleshy,,Berry,,Knapp 2002,,
Schultesianthus_leucanthus,Fleshy,,Berry,,Knapp 2002,,
Schultesianthus_megalandrus,Fleshy,,Berry,,Knapp 2002,,
Exodeconus_miersii,Fleshy,,Berry,,Knapp 2002,,
Lycium_andersonii,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_berlandieri,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_exsertum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_fremontii,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_parishii,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_torreyi,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_texanum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_athium,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_minimum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_americanum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_infaustum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_elongatum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_carolinianum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_sandwicense,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_rachidocladum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_tenuispinosum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_brevipes,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_cuneatum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_morongii,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_cestroides,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_minutifolium,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_stenophyllum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_fuscum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_deserti,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_ameghinoi,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_chanar,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_chilense,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_ciliatum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_gilliesianum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_nodosum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_vimineum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_californicum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_microphyllum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_macrodon,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_puberulum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_cooperi,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_pallidum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_shockleyi,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_boerhaviifolium,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_duplicatum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_hirsutum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_villosum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_bosciifolium,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_schweinfurthii,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_shawii,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_eenii,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_acutifolium,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_tetrandrum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_chinense,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_yunnanense,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_barbarum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_dasystemum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_truncatum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_ruthenicum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_depressum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_europaeum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_horridum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_schizocalyx,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_ferocissimum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_afrum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_arenicola,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_cinereum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_amoenum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_grandicalyx,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_strandveldense,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_australe,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_tenue,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_gariepense,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
Lycium_oxycarpum,Fleshy,,,"Note: ""Species of Lycium have relatively small, succulent, orange, red, or  blackish  fruits  and  are  probably  bird-dispersed"" ",Fukuda et al. (2001),,
