Species,Fruit_type,Notes,Reference,,
Leucopogon_distans,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_bossiaea,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_virgatus,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_apiculatus,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_cordatus,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_australis,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_alternifolius,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_plumuliflorus,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_assimilis,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Leucopogon_amplexicaulis,Fleshy,"""Drupe± spherical; mesocarp fleshy or thin""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Monotoca_elliptica,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Monotoca_ledifolia,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Monotoca_scoparia,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Monotoca_rotundifolia,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Monotoca_empetrifolia,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Montitega_dealbata,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Androstoma_verticillata,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Androstoma_empetrifolia,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Acrotriche_serrulata,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Trochocarpa_laurina,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
