Species,Fruit_type,,
Melastoma_pellegrinianum,Dry,,
Rousseauxia_aurata,Dry,,
Osbeckia_stellata,Dry,,
Dupineta_brazzae,Dry,,
Dupineta_hensii,Dry,,
Dissotis_brazzae,Dry,,
Dupineta_multiflora,Dry,,
Amphorocalyx_multiflorus,Dry,,
Rousseauxia_minimifolia,Dry,,
Rousseauxia_andringitrensis,Dry,,
Amphorocalyx_rupestris,Dry,,
Dionycha_bojerii,Dry,,
Pseudosbeckia_swynnertonii,Dry,,
Dissotis_thollonii,Dry,,
Dissotis_falcipila,Dry,,
Dissotis_princeps,Dry,,
Dissotis_crenulata,Dry,,
Dissotis_pulchra,Dry,,
Dissotis_romiana,Dry,,
Dissotis_trothae,Dry,,
Dissotis_denticulata,Dry,,
Dissotis_sizenandii,Dry,,
Antherotoma_densiflora,Dry,,
Osbeckia_togoensis,Dry,,
Osbeckia_decandra,Dry,,
Antherotoma_senegambiensis,Dry,,
Dissotis_congolensis,Dry,,
Dissotis_tubulosa,Dry,,
Antherotoma_irvingiana,Dry,,
Dissotis_gilgiana,Dry,,
Dissotis_welwitschii,Dry,,
Dissotis_perkinsiae,Dry,,
Dissotis_cryptantha,Dry,,
Dissotis_grandiflora,Dry,,
Dissotis_longisetosa,Dry,,
Antherotoma_gracilis,Dry,,
Antherotoma_angustifolia,Dry,,
Antherotoma_naudinii,Dry,,
Antherotoma_phaeotricha,Dry,,
Antherotoma_debilis,Dry,,
Desmoscelis_villosa,Dry,,
Tibouchina_aspera,Dry,,
Tibouchina_llanorum,Dry,,
Tibouchina_papyrus,Dry,,
Tibouchina_aegopogon,Dry,,
Tibouchina_bipenicillata,Dry,,
Tibouchina_fraterna,Dry,,
Tibouchina_striphnocalyx,Dry,,
Monochaetum_calcaratum,Dry,,
Bucquetia_glutinosa,Dry,,
Bucquetia_vernicosa,Dry,,
Castratella_piloselloides,Dry,,
Chaetolepis_anisandra,Dry,,
Chaetolepis_microphylla,Dry,,
Chaetolepis_cufodontisii,Dry,,
Monochaetum_polyneurum,Dry,,
Chaetolepis_lindeniana,Dry,,
