"","species","mean_temp","se_temp","within_sp_var_temp","mean_prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Fruit_type"
"120","Gaultheria_nummularioides",5.64932,0.003937,1.2e-05,6.531759,0.128088,0.012449,7.011243,0.046912,0.002681,9.139466,0.068316,0.010485,"Fleshy"
"121","Gaultheria_praticola",5.633181,NA,0.000198,7.669028,NA,0.199182,6.788972,NA,0.042895,9.21044,NA,0.167764,"Fleshy"
"122","Gaultheria_pyrolifolia",5.624661,0.004581,4e-05,7.646412,0.157599,0.039836,6.338989,0.132456,0.008579,10.491063,0.172373,0.033553,"Fleshy"
"123","Gaultheria_shallon",5.648976,0.001433,5e-06,7.233863,0.067747,0.005107,6.955986,0.033342,0.001159,9.555036,0.087631,0.004534,"Fleshy"
"124","Gaultheria_sinensis",5.644579,0.006947,5e-05,7.074676,0.367206,0.049796,6.960898,0.105535,0.010724,9.058212,0.117996,0.041941,"Fleshy"
"125","Gaultheria_tetramera",5.668667,0.002,5e-05,6.871262,0.164235,0.049796,7.179883,0.031886,0.010724,9.253445,0.14079,0.041941,"Fleshy"
"126","Gaultheria_trichophylla",5.62711,0.003682,1e-05,6.993392,0.147794,0.010483,6.916269,0.061008,0.002258,9.047393,0.084898,0.00883,"Fleshy"
"127","Gaultheria_wardii",5.661015,0.004775,5e-05,6.867416,0.358731,0.049796,7.127233,0.029048,0.010724,9.51747,0.093556,0.041941,"Fleshy"
"128","Gaylussacia_dumosa",5.659223,0.00234,3e-06,7.200698,0.016686,0.002521,7.116583,0.035946,0.000564,9.290246,0.039102,0.002207,"Fleshy"
"129","Gonocalyx_costaricensis",5.674182,NA,0.000198,7.945555,NA,0.199182,7.361375,NA,0.042895,9.633383,NA,0.167764,"Fleshy"
"130","Harrimanella_hypnoides",5.609669,0.000842,2e-06,6.645014,0.050518,0.002032,6.224652,0.017485,0.000442,9.659315,0.04234,0.00173,"Dry"
"131","Kalmia_angustifolia",5.627344,0.001148,1e-06,6.902944,0.014539,0.001132,6.718097,0.01615,0.000248,9.42854,0.016488,0.00097,"Dry"
"132","Kalmia_hirsuta",5.680111,0.000753,1.1e-05,7.221712,0.026485,0.011066,7.392976,0.004222,0.002681,9.047638,0.029104,0.010485,"Dry"
"133","Kalmia_latifolia",5.656304,0.001168,2e-06,7.059558,0.020202,0.002213,7.135058,0.014902,0.000482,9.174227,0.017103,0.001885,"Dry"
"134","Kalmia_polifolia",5.620977,0.000798,1e-06,6.734656,0.019675,0.000664,6.677225,0.013684,0.000147,9.29304,0.022489,0.000575,"Dry"
"135","Kalmiopsis_fragrans",5.648446,NA,0.000198,7.037028,NA,0.199182,7.184629,NA,0.042895,9.185945,NA,0.167764,"Dry"
"136","Ledothamnus_guyanensis",5.681879,0.003733,2.2e-05,7.924531,0.066966,0.022131,7.313721,0.036279,0.004766,9.704738,0.072892,0.01864,"Dry"
"137","Ledothamnus_sessiliflorus",5.661744,NA,0.000198,7.739794,NA,0.199182,7.234177,NA,0.042895,9.549167,NA,0.167764,"Dry"
"138","Leucopogon_allittii",5.679735,0.002652,5e-05,6.231007,0.197125,0.049796,7.716084,0.029347,0.010724,7.756091,0.209884,0.041941,"Fleshy"
"139","Leucopogon_alternifolius",5.666423,0.002595,9.9e-05,7.020312,0.039306,0.099591,7.344575,0.117639,0.021447,8.80009,0.133442,0.083882,"Fleshy"
"140","Leucopogon_amplexicaulis",5.672291,0.001204,9.9e-05,7.021981,0.073084,0.099591,7.333009,0.005229,0.021447,8.980726,0.005095,0.083882,"Fleshy"
"141","Leucopogon_blepharolepis",5.665906,0.001731,9.9e-05,6.335767,0.018603,0.099591,7.397864,0.002756,0.021447,8.016901,0.109617,0.083882,"Fleshy"
"142","Leucopogon_concinnus",5.666439,0.000827,1.8e-05,6.234327,0.096785,0.018107,7.487703,0.019074,0.0039,7.927543,0.106579,0.015251,"Fleshy"
"143","Leucopogon_conostephioides",5.67321,0.001158,7e-06,6.124761,0.065559,0.007377,7.629506,0.024039,0.001589,7.67941,0.07608,0.006213,"Fleshy"
"144","Leucopogon_cordatus",5.668741,0.000805,4e-05,6.754495,0.139336,0.039836,7.493147,0.054717,0.008579,8.428109,0.21293,0.033553,"Fleshy"
"145","Leucopogon_cordifolius",5.668611,0.000635,8e-06,5.869186,0.043543,0.008299,7.58205,0.020937,0.001787,7.487173,0.066343,0.00699,"Fleshy"
"146","Leucopogon_corynocarpus",5.662602,0.004689,9.9e-05,6.357805,0.008666,0.099591,7.321342,0.018845,0.021447,8.23672,0.021443,0.083882,"Fleshy"
"147","Leucopogon_crassiflorus",5.679319,NA,0.000198,6.386879,NA,0.199182,7.724447,NA,0.042895,7.818832,NA,0.167764,"Fleshy"
"148","Leucopogon_crassifolius",5.667771,0.001475,4e-05,6.233116,0.035077,0.039836,7.449906,0.032945,0.008579,7.942422,0.039566,0.033553,"Fleshy"
"149","Leucopogon_cymbiformis",5.668493,0.001752,3.3e-05,6.098492,0.077234,0.033197,7.558346,0.053753,0.007149,7.694735,0.144554,0.027961,"Fleshy"
"150","Leucopogon_distans",5.666251,0.001144,4e-05,6.817694,0.185908,0.039836,7.370453,0.03199,0.008579,8.610843,0.179478,0.033553,"Fleshy"
"151","Leucopogon_ericoides",5.66171,0.001015,3e-06,6.780076,0.046363,0.002929,7.277081,0.019448,0.000692,8.713312,0.059323,0.002706,"Fleshy"
"152","Leucopogon_esquamatus",5.661899,0.002779,1.3e-05,6.912668,0.063883,0.013279,7.240805,0.035441,0.003064,8.893189,0.082081,0.011983,"Fleshy"
"153","Leucopogon_glaucifolius",5.671505,0.002853,5e-05,6.119714,0.117293,0.049796,7.578011,0.081347,0.010724,7.711619,0.163139,0.041941,"Fleshy"
"154","Leucopogon_hispidus",5.683296,0.000794,6.6e-05,5.867098,0.047211,0.066394,7.766534,0.004895,0.014298,7.361686,0.030923,0.055921,"Fleshy"
"155","Leucopogon_juniperinus",5.669447,0.001834,7e-06,6.919858,0.046097,0.006868,7.352783,0.020973,0.001479,8.821155,0.040483,0.005785,"Fleshy"
"156","Leucopogon_leptanthus",5.679546,0.000973,6.6e-05,6.169382,0.061521,0.066394,7.736816,0.008547,0.014298,7.67507,0.058806,0.055921,"Fleshy"
"157","Leucopogon_leptospermoides",5.683268,0.00195,1e-05,7.060354,0.069637,0.010483,7.484712,0.022858,0.002383,8.806601,0.07016,0.00932,"Fleshy"
"158","Leucopogon_margarodes",5.682187,0.001472,2.8e-05,7.3705,0.031819,0.028455,7.446893,0.019117,0.006128,9.096249,0.043224,0.023966,"Fleshy"
"159","Leucopogon_microphyllus",5.662226,0.002468,1.4e-05,6.877506,0.073291,0.014227,7.299418,0.028393,0.0033,8.796353,0.079945,0.012905,"Fleshy"
"160","Leucopogon_muticus",5.669331,0.001688,5e-06,6.643559,0.032299,0.005383,7.436899,0.020195,0.001159,8.420302,0.045485,0.004534,"Fleshy"
"161","Leucopogon_nutans",5.670912,0.002239,9.9e-05,6.907935,0.116714,0.099591,7.586522,0.032711,0.021447,8.52769,0.138785,0.083882,"Fleshy"
"162","Leucopogon_obtectus",5.678744,0.002356,6.6e-05,6.071904,0.159124,0.066394,7.717421,0.015085,0.014298,7.555167,0.143442,0.055921,"Fleshy"
"163","Leucopogon_pendulus",5.666336,0.00106,2.5e-05,6.63377,0.122049,0.024898,7.422871,0.024864,0.005362,8.383843,0.115886,0.02097,"Fleshy"
"164","Leucopogon_plumuliflorus",5.678294,NA,0.000198,6.364751,NA,0.199182,7.705262,NA,0.042895,7.835975,NA,0.167764,"Fleshy"
"165","Leucopogon_pogonocalyx",5.664868,NA,0.000198,6.111467,NA,0.199182,7.433667,NA,0.042895,7.889459,NA,0.167764,"Fleshy"
"166","Leucopogon_pubescens",5.667368,0.006185,6.6e-05,6.315865,0.056211,0.066394,7.545747,0.12348,0.014298,7.904143,0.148953,0.055921,"Fleshy"
"167","Leucopogon_racemulosus",5.670542,0.001615,1.8e-05,6.733659,0.091391,0.018107,7.50614,0.044725,0.0039,8.391013,0.113297,0.015251,"Fleshy"
"168","Leucopogon_rotundifolius",5.669364,NA,0.000198,6.267201,NA,0.199182,7.501082,NA,0.042895,7.837554,NA,0.167764,"Fleshy"
"169","Leucopogon_ruscifolius",5.697243,0.00163,1.3e-05,7.300978,0.058943,0.013279,7.605582,0.020732,0.00286,8.838506,0.070893,0.011184,"Fleshy"
"170","Leucopogon_setiger",5.65885,0.003842,5e-05,6.779067,0.109654,0.049796,7.270332,0.055838,0.010724,8.769859,0.15492,0.041941,"Fleshy"
"171","Leucopogon_strictus",5.669708,NA,0.000198,7.01661,NA,0.199182,7.550661,NA,0.042895,8.698181,NA,0.167764,"Fleshy"
"172","Leucopogon_virgatus",5.662286,0.000934,3e-06,6.649624,0.038387,0.002554,7.307846,0.017615,0.000572,8.583781,0.049187,0.002237,"Fleshy"
"173","Leucothoe_davisiae",5.642348,0.00351,2e-05,7.235649,0.118629,0.019918,7.266894,0.047166,0.004289,9.192294,0.116042,0.016776,"Dry"
"174","Leucothoe_keiskei",5.658846,0.00468,4e-05,7.658492,0.128881,0.039836,7.083416,0.048006,0.008579,9.712347,0.071964,0.033553,"Dry"
"175","Lissanthe_brevistyla",5.688161,NA,0.000198,6.817831,NA,0.199182,7.597396,NA,0.042895,8.33639,NA,0.167764,"Fleshy"
"176","Lissanthe_sapida",5.667291,NA,0.000198,6.925595,NA,0.199182,7.334329,NA,0.042895,8.814628,NA,0.167764,"Fleshy"
"177","Lyonia_ferruginea",5.683308,0.001177,1e-05,7.21496,0.017493,0.010483,7.420592,0.010615,0.002258,8.987816,0.027549,0.00883,"Dry"
"178","Lyonia_ligustrina",5.648814,0.001029,4e-06,7.000784,0.016529,0.003984,7.03383,0.015081,0.000875,9.190925,0.020122,0.003424,"Dry"
"179","Lyonia_lucida",5.677436,0.001012,4e-06,7.193552,0.015071,0.003906,7.366804,0.009884,0.000841,9.050111,0.018857,0.003289,"Dry"
"180","Lysinema_ciliatum",5.671953,0.000779,5e-06,6.175827,0.066572,0.00498,7.591641,0.020502,0.001159,7.714658,0.079792,0.004534,"Dry"
"181","Macleania_cordifolia",5.674868,NA,0.000198,7.358194,NA,0.199182,7.111512,NA,0.042895,9.677904,NA,0.167764,"Fleshy"
"182","Macleania_insignis",5.681717,0.00223,9e-06,7.634502,0.080067,0.009054,7.403096,0.016727,0.00195,9.381204,0.076759,0.007626,"Fleshy"
"183","Macleania_rupestris",5.656504,0.002349,4e-06,7.32471,0.071479,0.004065,7.079783,0.023225,0.000875,9.336891,0.073265,0.003424,"Fleshy"
