"","species","temp","se_temp","within_sp_var_temp","prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Dispersal_mode"
"576","Rubus_pirifolius",5.6844,0.001956,4e-06,7.506492,0.069526,0.003551,7.223925,0.017213,0.001086,9.501596,0.074749,0.004499,"Biotic"
"577","Rubus_pungens",5.650362,0.003819,1.4e-05,7.159701,0.090675,0.011127,6.966292,0.059749,0.003402,9.31826,0.116888,0.014097,"Biotic"
"578","Rubus_ribisoideus",5.667948,0.001225,1.5e-05,7.701454,0.057538,0.011922,7.156375,0.026415,0.004252,9.668472,0.07038,0.017622,"Biotic"
"579","Rubus_rufus",5.667447,0.001415,8e-06,7.133659,0.04003,0.006676,7.048555,0.01824,0.002041,9.292838,0.051378,0.008458,"Biotic"
"580","Rubus_sapidus",5.675502,0.001771,8e-06,7.255139,0.076245,0.006419,7.408815,0.018404,0.001963,8.953653,0.087476,0.008133,"Biotic"
"581","Rubus_setchuenensis",5.663813,0.001712,4e-06,7.031694,0.024673,0.003551,7.005751,0.019195,0.001086,9.223747,0.030222,0.004499,"Biotic"
"582","Rubus_setosus",5.632301,0.001461,6e-06,6.98146,0.018455,0.005058,6.84591,0.024439,0.001546,9.395998,0.031942,0.006408,"Biotic"
"583","Rubus_spectabilis",5.637114,0.00178,4e-06,7.161077,0.07929,0.003149,6.844118,0.026942,0.001021,9.598519,0.086207,0.004229,"Biotic"
"584","Rubus_stans",5.642254,0.005318,1.7e-05,6.78739,0.048904,0.013908,6.989522,0.066279,0.004252,8.935245,0.091673,0.017622,"Biotic"
"585","Rubus_subinopertus",5.667509,0.003622,2.1e-05,7.069442,0.091615,0.01669,7.118314,0.038737,0.005103,9.177577,0.097676,0.021146,"Biotic"
"586","Rubus_subtibetanus",5.65075,0.005962,2.1e-05,6.868076,0.070381,0.01669,6.944884,0.074944,0.005103,9.039432,0.089255,0.021146,"Biotic"
"587","Rubus_sulcatus",5.635591,0.000593,1.7e-05,6.336556,0.029721,0.013908,6.597346,0.007717,0.004639,9.019305,0.031012,0.019223,"Biotic"
"588","Rubus_sumatranus",5.671936,0.001136,2e-06,7.330942,0.021981,0.001652,7.131689,0.010226,0.000505,9.410942,0.020252,0.002094,"Biotic"
"589","Rubus_tephrodes",5.670227,0.001398,6e-06,7.264937,0.030317,0.004769,7.069014,0.025348,0.001458,9.412327,0.036616,0.006042,"Biotic"
"590","Rubus_tricolor",5.660206,0.004154,2.1e-05,6.89897,0.030024,0.01669,7.04113,0.051069,0.005103,9.06263,0.084213,0.021146,"Biotic"
"591","Rubus_trifidus",5.66313,0.001648,5.1e-05,7.329168,0.030366,0.041725,7.150282,0.020313,0.012757,9.410921,0.031566,0.052865,"Biotic"
"592","Rubus_trilobus",5.659883,0.002757,1.3e-05,7.115568,0.090546,0.010431,7.339788,0.026406,0.003189,8.873836,0.111144,0.013216,"Biotic"
"593","Rubus_trivialis",5.672827,0.001121,2e-06,7.038264,0.029321,0.002011,7.372059,0.012292,0.000622,8.889791,0.038526,0.002579,"Biotic"
"594","Rubus_tsangii",5.673133,0.001752,1.6e-05,7.208224,0.056946,0.012839,7.109984,0.032342,0.003925,9.304474,0.059591,0.016266,"Biotic"
"595","Rubus_ulmifolius",5.657876,0.000922,2e-06,6.506021,0.028304,0.001227,7.192918,0.019587,0.000384,8.53079,0.04705,0.00159,"Biotic"
"596","Rubus_ursinus",5.649883,0.001421,3e-06,6.842192,0.075211,0.002351,7.171949,0.033632,0.00075,8.863979,0.103678,0.00311,"Biotic"
"597","Rubus_urticifolius",5.679087,0.000986,2e-06,7.42753,0.037831,0.001368,7.24549,0.013346,0.000422,9.349926,0.037217,0.001748,"Biotic"
"598","Rubus_vigorosus",5.640099,0.001871,2.3e-05,6.47989,0.059143,0.018545,6.697321,0.035106,0.00567,9.033562,0.061119,0.023495,"Biotic"
"599","Rubus_wallichianus",5.666958,0.00489,1.7e-05,7.25965,0.086932,0.013908,7.098623,0.075715,0.004252,9.340788,0.10287,0.017622,"Biotic"
"600","Rubus_yiwuanus",5.636752,NA,0.000206,7.292337,NA,0.166901,6.410175,NA,0.051029,9.643031,NA,0.211458,"Biotic"
"601","Sanguisorba_albiflora",5.63847,0.005015,3.4e-05,7.438596,0.074348,0.027817,6.680874,0.104857,0.008505,9.932723,0.154847,0.035243,"Abiotic"
"602","Sanguisorba_canadensis",5.613688,0.00118,2e-06,6.695044,0.054081,0.001255,6.49868,0.021397,0.000415,9.423692,0.055976,0.001733,"Abiotic"
"603","Sanguisorba_hakusanensis",5.636997,0.002306,1.5e-05,7.449441,0.051187,0.011922,6.760422,0.05068,0.003645,9.857793,0.082133,0.015104,"Abiotic"
"604","Sanguisorba_officinalis",5.627445,0.000912,0,6.515637,0.020395,0.000219,6.769687,0.01164,6.9e-05,8.959401,0.021435,0.000284,"Abiotic"
"605","Sarcopoterium_spinosum",5.669674,0.001295,8e-06,6.543832,0.056229,0.006419,7.40225,0.024164,0.002686,8.269219,0.061379,0.011129,"Abiotic"
"606","Sibbaldia_parviflora",5.618239,0.002561,1.4e-05,6.630633,0.075841,0.011127,6.754303,0.067119,0.003402,9.256035,0.149562,0.014097,"Abiotic"
"607","Sibbaldia_procumbens",5.606333,0.000729,0,6.538579,0.023128,0.000301,6.513137,0.015599,9.4e-05,9.295415,0.027523,0.000389,"Abiotic"
"608","Sibiraea_laevigata",5.618597,0.003846,1.6e-05,6.193652,0.079895,0.012839,6.91528,0.057367,0.003925,8.496796,0.125669,0.016266,"Abiotic"
"609","Sorbaria_arborea",5.648729,0.002732,5e-06,6.723149,0.050136,0.00428,7.011985,0.026472,0.001308,8.897942,0.056277,0.005422,"Abiotic"
"610","Sorbus_californica",5.631902,0.00187,1.3e-05,6.874232,0.107604,0.010431,7.228799,0.029182,0.003189,8.918975,0.135309,0.013216,"Biotic"
