"","species","temp","se_temp","within_sp_var_temp","prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Dispersal_mode"
"868","Mouriri_sagotiana",5.700934,0.000404,2e-06,7.736614,0.025908,0.002128,7.283145,0.01585,0.000246,9.662169,0.030357,0.002345,"Biotic"
"869","Nepsera_aquatica",5.700062,0.00037,1e-06,7.711776,0.037727,0.000967,7.352257,0.010689,0.000116,9.545646,0.039016,0.001106,"Abiotic"
"870","Opisthocentra_clidemioides",5.701834,0.000715,9e-06,8.041508,0.030505,0.011823,7.206663,0.020967,0.001368,10.051492,0.042895,0.01303,"Abiotic"
"871","Osbeckia_australiana",5.704509,0.000364,2e-06,7.032799,0.046305,0.00304,7.769392,0.016028,0.000373,8.489759,0.063052,0.003554,"Abiotic"
"872","Osbeckia_chinensis",5.681856,0.001128,1e-06,7.375751,0.025623,7e-04,7.233443,0.015464,8.2e-05,9.350759,0.029945,0.000782,"Abiotic"
"873","Osbeckia_decandra",5.685274,0.003226,3.9e-05,7.669822,0.066921,0.053203,7.322701,0.047529,0.006156,9.564893,0.044425,0.058634,"Abiotic"
"874","Osbeckia_nepalensis",5.679799,0.002804,5e-06,7.32198,0.073322,0.006259,7.256187,0.024352,0.000724,9.289919,0.083972,0.006898,"Abiotic"
"875","Osbeckia_stellata",5.674272,0.001364,1e-06,7.190137,0.032932,0.001438,7.137615,0.016239,0.000166,9.272319,0.032774,0.001585,"Abiotic"
"876","Ossaea_amygdaloides",5.681053,0.001021,2e-06,7.362944,0.033151,0.002876,7.158326,0.016276,0.000342,9.398458,0.03608,0.003257,"Biotic"
"877","Ossaea_angustifolia",5.681022,0.001458,4e-06,7.281469,0.06125,0.00532,7.14037,0.01532,0.000616,9.343287,0.067983,0.005863,"Biotic"
"878","Ossaea_congestiflora",5.684369,0.00169,4e-06,7.288414,0.037564,0.004837,7.283723,0.018713,0.000586,9.210793,0.036096,0.005584,"Biotic"
"879","Ossaea_coriacea",5.672808,NA,7.7e-05,7.378384,NA,0.106405,7.104144,NA,0.012312,9.421816,NA,0.117268,"Biotic"
"880","Ossaea_cucullata",5.698476,0.001248,2e-06,7.929685,0.035184,0.003224,7.122564,0.010658,0.000385,9.979475,0.037502,0.003665,"Biotic"
"881","Ossaea_marginata",5.682887,0.000917,3e-06,7.348302,0.031292,0.003547,7.223655,0.026148,0.00041,9.335175,0.043235,0.003909,"Biotic"
"882","Ossaea_petiolaris",5.621306,NA,7.7e-05,6.452049,NA,0.106405,7.192182,NA,0.012312,8.639411,NA,0.117268,"Biotic"
"883","Ossaea_sanguinea",5.67763,0.001564,5e-06,7.399711,0.044875,0.006259,7.09288,0.019235,0.000724,9.507811,0.06028,0.006898,"Biotic"
"884","Ossaea_suprabasalis",5.681817,0.001972,2.6e-05,6.926282,0.150925,0.035468,7.151349,0.025691,0.004104,8.996587,0.170053,0.039089,"Biotic"
"885","Ossaea_vazquezii",5.689515,NA,7.7e-05,7.388946,NA,0.106405,7.296413,NA,0.012312,9.455637,NA,0.117268,"Biotic"
"886","Ossaea_wrightii",5.691879,NA,7.7e-05,7.401842,NA,0.106405,7.3518,NA,0.012312,9.243582,NA,0.117268,"Biotic"
"887","Oxyspora_paniculata",5.676441,0.001222,2e-06,7.29569,0.05078,0.002418,7.192474,0.013508,0.00028,9.322809,0.053977,0.002665,"Abiotic"
"888","Pachyanthus_angustifolius",5.694237,NA,7.7e-05,7.392032,NA,0.106405,7.41998,NA,0.012312,9.161255,NA,0.117268,"Biotic"
