Species,Fruit_type,Fruit_type_and_notes,Notes,References
Asclepias_tomentosa,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_tuberosa,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_uncialis,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_variegata,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_verticillata,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_vinosa,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_viridiflora,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_viridis,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_viridula,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_virletii,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_welshii,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_woodii,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_woodsoniana,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Asclepias_zanthodacryon,Dry,Follicle,Seeds rarely lacking a coma.,Endress et al. (2018)
Aspidoglossum_heterophyllum,Dry,Follicle,"Follicles fusiform or obclavate, often paired. Seeds ovate, winged, usually with white apical coma.",Endress et al. (2018)
Aspidonepsis_diploglossa,Dry,Follicle,"Follicles fusiform or obclavate, often paired. Seeds ovate, winged, usually with white apical coma.",Endress et al. (2018)
Aspidonepsis_flava,Dry,Follicle,"Follicles fusiform or obclavate, often paired. Seeds ovate, winged, usually with white apical coma.",Endress et al. (2018)
Aspidosperma_australe,Dry,Follicle,winged seeds,Endress et al. (2018)
Aspidosperma_cruentum,Dry,Follicle,winged seeds,Endress et al. (2018)
Aspidosperma_cylindrocarpon,Dry,Follicle,winged seeds,Endress et al. (2018)
Aspidosperma_marcgravianum,Dry,Follicle,winged seeds,Endress et al. (2018)
Aspidosperma_spruceanum,Dry,Follicle,winged seeds,Endress et al. (2018)
Astephanus_triflorus,Dry,Follicle,Wingless seeds.,Endress et al. (2018)
Australluma_peschii,Dry,Follicle,,Endress et al. (2018)
Baissea_leonensis,Dry,Follicle,,Endress et al. (2018)
Baissea_multiflora,Dry,Follicle,,Endress et al. (2018)
Barjonia_chlorifolia,Dry,Follicle,Winged seeds.,Endress et al. (2018)
Barjonia_erecta,Dry,Follicle,Winged seeds.,Endress et al. (2018)
Barjonia_glazioui,Dry,Follicle,Winged seeds.,Endress et al. (2018)
Barjonia_laxa,Dry,Follicle,Winged seeds.,Endress et al. (2018)
Beaumontia_grandiflora,Dry,Follicle,Coma present.,Endress et al. (2018)
Biondia_henryi,Dry,Follicle,,Endress et al. (2018)
Blepharodon_ampliflorum,Dry,Follicle,Wingless seeds.,Endress et al. (2018)
Blepharodon_bicuspidatum,Dry,Follicle,Wingless seeds.,Endress et al. (2018)
Blepharodon_costae,Dry,Follicle,Wingless seeds.,Endress et al. (2018)
Blepharodon_glaucescens,Dry,Follicle,Wingless seeds.,Endress et al. (2018)
Blepharodon_grandiflorum,Dry,Follicle,Wingless seeds.,Endress et al. (2018)
Blepharodon_lineare,Dry,Follicle,Wingless seeds.,Endress et al. (2018)
Blepharodon_manicatum,Dry,Follicle,Wingless seeds.,Endress et al. (2018)
Blepharodon_mucronatum,Dry,Follicle,Wingless seeds.,Endress et al. (2018)
Blepharodon_pictum,Dry,Follicle,Wingless seeds.,Endress et al. (2018)
Blyttia_fruticulosa,Dry,Follicle,,Endress et al. (2018)
Boucerosia_crenulata,Dry,Follicle,,Endress et al. (2018)
Boucerosia_diffusa,Dry,Follicle,,Endress et al. (2018)
Boucerosia_frerei,Dry,Follicle,,Endress et al. (2018)
Boucerosia_indica,Dry,Follicle,,Endress et al. (2018)
Boucerosia_pauciflora,Dry,Follicle,,Endress et al. (2018)
Boucerosia_procumbens,Dry,Follicle,,Endress et al. (2018)
Boucerosia_truncatocoronata,Dry,Follicle,,Endress et al. (2018)
Boucerosia_umbellata,Dry,Follicle,,Endress et al. (2018)
Brachystelma_naorojii,Dry,Follicle,,Endress et al. (2018)
Cabucala_polysperma,Fleshy,"Drupes variously colored, ",,Endress et al. (2018)
Calciphila_galgalensis,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Calciphila_gillettii,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Callichilia_barteri,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Callichilia_bequaertii,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Callichilia_inaequalis,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Callichilia_orientalis,Fleshy,Follicles,Winged seeds.,Endress et al. (2018)
Callichilia_subsessilis,Dry,Follicles,Winged seeds.,Endress et al. (2018)
Calocrater_preussii,Fleshy,,Arilate seeds.,Endress et al. (2018)
Calotropis_gigantea,Dry,Follicles,,Endress et al. (2018)
Calotropis_procera,Dry,Follicles,,Endress et al. (2018)
Camptocarpus_mauritianus,Dry,Follicles,,Endress et al. (2018)
Caralluma_arachnoidea,Dry,Follicles,,Endress et al. (2018)
Caralluma_bhupinderana,Dry,Follicles,,Endress et al. (2018)
Caralluma_dicapuae,Dry,Follicles,,Endress et al. (2018)
Caralluma_flavovirens,Dry,Follicles,,Endress et al. (2018)
Caralluma_furta,Dry,Follicles,,Endress et al. (2018)
Caralluma_peckii,Dry,Follicles,,Endress et al. (2018)
Caralluma_priogonium,Dry,Follicles,,Endress et al. (2018)
Caralluma_sarkariae,Dry,Follicles,,Endress et al. (2018)
Caralluma_stalagmifera,Dry,Follicles,,Endress et al. (2018)
Caralluma_subulata,Dry,Follicles,,Endress et al. (2018)
Caralluma_turneri,Dry,Follicles,,Endress et al. (2018)
Carissa_bispinosa,Fleshy,Berry,"Fruit globose or oblong, red, purple, bluish black or black. ",Endress et al. (2018)
Carissa_carandas,Fleshy,Berry,"Fruit globose or oblong, red, purple, bluish black or black. ",Endress et al. (2018)
Carissa_macrocarpa,Fleshy,Berry,"Fruit globose or oblong, red, purple, bluish black or black. ",Endress et al. (2018)
Carissa_ovata,Fleshy,Berry,"Fruit globose or oblong, red, purple, bluish black or black. ",Endress et al. (2018)
Carissa_spinarum,Fleshy,Berry,"Fruit globose or oblong, red, purple, bluish black or black. ",Endress et al. (2018)
Carvalhoa_campanulata,Fleshy,Follicles,"Aril dark orange, pulpy",Endress et al. (2018)
Catharanthus_roseus,Dry,Follicles,,Endress et al. (2018)
Caudanthera_edulis,Dry,Follicles,,Endress et al. (2018)
Caudanthera_sinaica,Dry,Follicles,,Endress et al. (2018)
Cerbera_manghas,Fleshy,Drupe,,Endress et al. (2018)
Cerbera_odollam,Fleshy,Drupe,,Endress et al. (2018)
Cerbera_venenifera,Fleshy,Drupe,,Endress et al. (2018)
Ceropegia_bulbosa,Dry,Follicles,,Endress et al. (2018)
Ceropegia_dichotoma,Dry,Follicles,,Endress et al. (2018)
Ceropegia_intermedia,Dry,Follicles,,Endress et al. (2018)
Ceropegia_juncea,Dry,Follicles,,Endress et al. (2018)
Ceropegia_lawii,Dry,Follicles,,Endress et al. (2018)
Ceropegia_maccannii,Dry,Follicles,,Endress et al. (2018)
Ceropegia_media,Dry,Follicles,,Endress et al. (2018)
Ceropegia_panchganiensis,Dry,Follicles,,Endress et al. (2018)
Ceropegia_rollae,Dry,Follicles,,Endress et al. (2018)
Ceropegia_sahyadrica,Dry,Follicles,,Endress et al. (2018)
Chilocarpus_costatus,Fleshy,,"Seeds globular-ovoid, with a corky aril on the funicle",Endress et al. (2018)
Chilocarpus_rostratus,Fleshy,,"Seeds globular-ovoid, with a corky aril on the funicle",Endress et al. (2018)
