"","species","n_bio1","mean_bio1","sd_bio1","se_bio1","species.1","n_bio2","mean_bio2","sd_bio2","se_bio2","species.2","n_bio3","mean_bio3","sd_bio3","se_bio3","species.3","n_bio4","mean_bio4","sd_bio4","se_bio4","species.4","n_bio5","mean_bio5","sd_bio5","se_bio5","species.5","n_bio6","mean_bio6","sd_bio6","se_bio6","species.6","n_bio7","mean_bio7","sd_bio7","se_bio7","species.7","n_bio8","mean_bio8","sd_bio8","se_bio8","species.8","n_bio9","mean_bio9","sd_bio9","se_bio9","species.9","n_bio10","mean_bio10","sd_bio10","se_bio10","species.10","n_bio11","mean_bio11","sd_bio11","se_bio11","species.11","n_bio12","mean_bio12","sd_bio12","se_bio12","species.12","n_bio13","mean_bio13","sd_bio13","se_bio13","species.13","n_bio14","mean_bio14","sd_bio14","se_bio14","species.14","n_bio15","mean_bio15","sd_bio15","se_bio15","species.15","n_bio16","mean_bio16","sd_bio16","se_bio16","species.16","n_bio17","mean_bio17","sd_bio17","se_bio17","species.17","n_bio18","mean_bio18","sd_bio18","se_bio18","species.18","n_bio19","mean_bio19","sd_bio19","se_bio19","species.19","n_alt","mean_alt","sd_alt","se_alt"
"93","Solanum anceps","83","228.07","35.61","3.91","Solanum anceps","83","110.02","17.53","1.92","Solanum anceps","83","80.24","6.5","0.71","Solanum anceps","83","633.86","302.13","33.16","Solanum anceps","83","294.9","32.47","3.56","Solanum anceps","83","157.42","44.29","4.86","Solanum anceps","83","137.48","26.74","2.94","Solanum anceps","83","229","35.77","3.93","Solanum anceps","83","221.95","37.05","4.07","Solanum anceps","83","234.43","35.17","3.86","Solanum anceps","83","218.64","36.26","3.98","Solanum anceps","83","2350.01","1063.83","116.77","Solanum anceps","83","303.72","116.47","12.78","Solanum anceps","83","90.37","76","8.34","Solanum anceps","83","39.75","16.27","1.79","Solanum anceps","83","845.93","332.71","36.52","Solanum anceps","83","310.07","239.65","26.31","Solanum anceps","83","585.95","235.67","25.87","Solanum anceps","83","486.16","438.15","48.09","Solanum anceps","83","886.7","819.14","89.91"
"94","Solanum andreanum","6","105.83","35.69","14.57","Solanum andreanum","6","102.5","11.79","4.81","Solanum andreanum","6","88","1.1","0.45","Solanum andreanum","6","393.67","65.04","26.55","Solanum andreanum","6","165.83","41.25","16.84","Solanum andreanum","6","49.67","28.97","11.83","Solanum andreanum","6","116.17","13.88","5.67","Solanum andreanum","6","106.67","34.58","14.12","Solanum andreanum","6","104.17","39.4","16.08","Solanum andreanum","6","108.67","36.4","14.86","Solanum andreanum","6","99.33","34.98","14.28","Solanum andreanum","6","1320.17","338.94","138.37","Solanum andreanum","6","151.5","40.61","16.58","Solanum andreanum","6","65.17","23.61","9.64","Solanum andreanum","6","25.33","8.5","3.47","Solanum andreanum","6","427.83","111.9","45.68","Solanum andreanum","6","219.5","74.81","30.54","Solanum andreanum","6","323.5","46.81","19.11","Solanum andreanum","6","313.33","176.06","71.88","Solanum andreanum","6","3142.33","579.84","236.72"
"95","Solanum aturense","71","219.83","38.11","4.52","Solanum aturense","71","95.56","10.27","1.22","Solanum aturense","71","82.51","6.5","0.77","Solanum aturense","71","509.34","263.94","31.32","Solanum aturense","71","278.65","37.42","4.44","Solanum aturense","71","162.79","41.94","4.98","Solanum aturense","71","115.86","15.42","1.83","Solanum aturense","71","217.69","37.1","4.4","Solanum aturense","71","219.61","39.6","4.7","Solanum aturense","71","225.44","39.09","4.64","Solanum aturense","71","212.55","37.49","4.45","Solanum aturense","71","2756.27","1320.21","156.68","Solanum aturense","71","379.63","156.33","18.55","Solanum aturense","71","94.75","93.93","11.15","Solanum aturense","71","43.32","15.67","1.86","Solanum aturense","71","1012.15","417.81","49.58","Solanum aturense","71","341.3","300.34","35.64","Solanum aturense","71","579.94","332.94","39.51","Solanum aturense","71","731.63","475.33","56.41","Solanum aturense","71","933.35","743.96","88.29"
"96","Solanum acerifolium","78","194.71","36.08","4.09","Solanum acerifolium","78","106.68","16.45","1.86","Solanum acerifolium","78","77.78","9.34","1.06","Solanum acerifolium","78","813.42","656.83","74.37","Solanum acerifolium","78","264.35","39.1","4.43","Solanum acerifolium","78","125.42","41.23","4.67","Solanum acerifolium","78","138.92","30.29","3.43","Solanum acerifolium","78","197.09","36.63","4.15","Solanum acerifolium","78","190.47","38.6","4.37","Solanum acerifolium","78","203.5","38.26","4.33","Solanum acerifolium","78","183.14","35.67","4.04","Solanum acerifolium","78","1890.46","736.98","83.45","Solanum acerifolium","78","300.17","116.38","13.18","Solanum acerifolium","78","47.78","38.88","4.4","Solanum acerifolium","78","55.62","18.21","2.06","Solanum acerifolium","78","782.47","296.48","33.57","Solanum acerifolium","78","176.35","131.27","14.86","Solanum acerifolium","78","471.09","198.07","22.43","Solanum acerifolium","78","357.85","294.74","33.37","Solanum acerifolium","78","1392.1","744.7","84.32"
"97","Solanum aphyodendron","112","190.39","41.27","3.9","Solanum aphyodendron","112","115.62","22.34","2.11","Solanum aphyodendron","112","75.65","9.42","0.89","Solanum aphyodendron","112","1008.59","683.01","64.54","Solanum aphyodendron","112","267.26","47.84","4.52","Solanum aphyodendron","112","111.82","46.24","4.37","Solanum aphyodendron","112","155.44","40.51","3.83","Solanum aphyodendron","112","194.65","42.35","4","Solanum aphyodendron","112","183.88","43.19","4.08","Solanum aphyodendron","112","201.51","44.21","4.18","Solanum aphyodendron","112","176.1","40.48","3.83","Solanum aphyodendron","112","1772.15","874.5","82.63","Solanum aphyodendron","112","293.84","133.88","12.65","Solanum aphyodendron","112","40.79","38.31","3.62","Solanum aphyodendron","112","63.88","26.05","2.46","Solanum aphyodendron","112","774.96","348.01","32.88","Solanum aphyodendron","112","147.62","136.62","12.91","Solanum aphyodendron","112","463.6","231.79","21.9","Solanum aphyodendron","112","266.12","288.74","27.28","Solanum aphyodendron","112","1581.75","824.69","77.93"
"98","Solanum pubigerum","33","171.15","44.47","7.74","Solanum pubigerum","33","141.97","19.64","3.42","Solanum pubigerum","33","66.94","4.6","0.8","Solanum pubigerum","33","1844.91","643.26","111.98","Solanum pubigerum","33","274.97","41.38","7.2","Solanum pubigerum","33","63.48","51.17","8.91","Solanum pubigerum","33","211.48","30.72","5.35","Solanum pubigerum","33","183.21","47","8.18","Solanum pubigerum","33","157.64","46.32","8.06","Solanum pubigerum","33","191.91","45.15","7.86","Solanum pubigerum","33","145.12","44.43","7.73","Solanum pubigerum","33","1088.06","450.34","78.39","Solanum pubigerum","33","228.39","93.8","16.33","Solanum pubigerum","33","10.97","7.84","1.36","Solanum pubigerum","33","89.45","11.93","2.08","Solanum pubigerum","33","614.45","263.76","45.91","Solanum pubigerum","33","42.24","24.81","4.32","Solanum pubigerum","33","284.61","121.82","21.21","Solanum pubigerum","33","56.15","34.8","6.06","Solanum pubigerum","33","1966.42","844.48","147.01"
"99","Physalis nicandroides","48","206.65","35.54","5.13","Physalis nicandroides","48","145.35","20.64","2.98","Physalis nicandroides","48","65.4","5.07","0.73","Physalis nicandroides","48","2189.81","833.69","120.33","Physalis nicandroides","48","314.21","37.51","5.41","Physalis nicandroides","48","92.54","42.36","6.11","Physalis nicandroides","48","221.67","34.99","5.05","Physalis nicandroides","48","223.08","36.95","5.33","Physalis nicandroides","48","195.71","41.63","6.01","Physalis nicandroides","48","231.96","37.95","5.48","Physalis nicandroides","48","176.44","37.28","5.38","Physalis nicandroides","48","937.06","387.04","55.86","Physalis nicandroides","48","212.6","73.91","10.67","Physalis nicandroides","48","6.92","7.42","1.07","Physalis nicandroides","48","98.35","14.47","2.09","Physalis nicandroides","48","553.92","193.74","27.96","Physalis nicandroides","48","28","25.17","3.63","Physalis nicandroides","48","313.56","141.33","20.4","Physalis nicandroides","48","57.67","59.98","8.66","Physalis nicandroides","48","1303.58","712.84","102.89"
"100","Solanum peruvianum","28","169.21","43.56","8.23","Solanum peruvianum","28","119.39","27.54","5.2","Solanum peruvianum","28","69.39","10.06","1.9","Solanum peruvianum","28","1735.32","701.76","132.62","Solanum peruvianum","28","252.93","39.38","7.44","Solanum peruvianum","28","82.71","60.63","11.46","Solanum peruvianum","28","170.21","27.42","5.18","Solanum peruvianum","28","183.71","46.08","8.71","Solanum peruvianum","28","167","52.59","9.94","Solanum peruvianum","28","191.11","45.98","8.69","Solanum peruvianum","28","146.71","45.7","8.64","Solanum peruvianum","28","235.82","437.98","82.77","Solanum peruvianum","28","55.29","73.74","13.94","Solanum peruvianum","28","2.32","7.76","1.47","Solanum peruvianum","28","83.5","43.53","8.23","Solanum peruvianum","28","133.46","194.13","36.69","Solanum peruvianum","28","9.43","27.9","5.27","Solanum peruvianum","28","114.96","148.8","28.12","Solanum peruvianum","28","13.21","42.05","7.95","Solanum peruvianum","28","1327.5","1189.53","224.8"
"101","Nothocestrum longifolium","4","170.25","11.95","5.97","Nothocestrum longifolium","4","86.25","3.1","1.55","Nothocestrum longifolium","4","67","2.83","1.42","Nothocestrum longifolium","4","1366.75","210.08","105.04","Nothocestrum longifolium","4","236.75","13.18","6.59","Nothocestrum longifolium","4","108.75","13.4","6.7","Nothocestrum longifolium","4","128","8.91","4.46","Nothocestrum longifolium","4","156.75","12.07","6.04","Nothocestrum longifolium","4","181.75","18.03","9.02","Nothocestrum longifolium","4","187.75","12.84","6.42","Nothocestrum longifolium","4","153.25","11.67","5.84","Nothocestrum longifolium","4","2323","372.49","186.24","Nothocestrum longifolium","4","294.25","39.31","19.66","Nothocestrum longifolium","4","84.25","28.43","14.21","Nothocestrum longifolium","4","37","6.68","3.34","Nothocestrum longifolium","4","811.5","110.76","55.38","Nothocestrum longifolium","4","355","96.61","48.3","Nothocestrum longifolium","4","387.75","65.2","32.6","Nothocestrum longifolium","4","788","120.1","60.05","Nothocestrum longifolium","4","1065.25","191.81","95.9"
"102","Physalis cordata","69","221.62","41.76","5.03","Physalis cordata","69","114.84","21.11","2.54","Physalis cordata","69","64.75","15.06","1.81","Physalis cordata","69","2460.1","2483.44","298.97","Physalis cordata","69","315.14","31.4","3.78","Physalis cordata","69","124.09","75.14","9.05","Physalis cordata","69","191.06","75.96","9.14","Physalis cordata","69","232.09","47.02","5.66","Physalis cordata","69","212.25","57.48","6.92","Physalis cordata","69","251.03","33","3.97","Physalis cordata","69","188.07","67.83","8.17","Physalis cordata","69","1717.71","977.29","117.65","Physalis cordata","69","293.72","151.75","18.27","Physalis cordata","69","37.52","36.9","4.44","Physalis cordata","69","65.45","29.64","3.57","Physalis cordata","69","758.16","391.49","47.13","Physalis cordata","69","137.3","133.9","16.12","Physalis cordata","69","456.78","219.17","26.38","Physalis cordata","69","289.96","379.75","45.72","Physalis cordata","69","524.01","665.95","80.17"
"103","Physalis heterophylla","199","97.79","33.74","2.39","Physalis heterophylla","199","122.82","15.43","1.09","Physalis heterophylla","199","30.93","4.32","0.31","Physalis heterophylla","199","9454.77","1061.54","75.25","Physalis heterophylla","199","294.46","29","2.06","Physalis heterophylla","199","-98.19","44.03","3.12","Physalis heterophylla","199","392.65","33.59","2.38","Physalis heterophylla","199","178.76","48.97","3.47","Physalis heterophylla","199","-7.64","76.72","5.44","Physalis heterophylla","199","215.64","28.66","2.03","Physalis heterophylla","199","-28.7","44.19","3.13","Physalis heterophylla","199","906.12","222.87","15.8","Physalis heterophylla","199","106.74","20.63","1.46","Physalis heterophylla","199","43.84","22.73","1.61","Physalis heterophylla","199","28.68","15.91","1.13","Physalis heterophylla","199","295.38","54.21","3.84","Physalis heterophylla","199","150.14","71.99","5.1","Physalis heterophylla","199","273.34","51.15","3.63","Physalis heterophylla","199","159.27","82.05","5.82","Physalis heterophylla","199","360.3","402.69","28.55"
"104","Solanum coriaceum","30","255.1","16.64","3.04","Solanum coriaceum","30","88.5","6.4","1.17","Solanum coriaceum","30","78.8","3.56","0.65","Solanum coriaceum","30","540.77","100.93","18.43","Solanum coriaceum","30","316.83","17","3.1","Solanum coriaceum","30","205.1","18.91","3.45","Solanum coriaceum","30","111.73","8.19","1.5","Solanum coriaceum","30","252.07","15.97","2.92","Solanum coriaceum","30","260.3","18.35","3.35","Solanum coriaceum","30","262.3","17.06","3.11","Solanum coriaceum","30","248.47","16.58","3.03","Solanum coriaceum","30","2437.03","445.84","81.4","Solanum coriaceum","30","380.8","65.97","12.04","Solanum coriaceum","30","68.17","29.92","5.46","Solanum coriaceum","30","49.13","10.23","1.87","Solanum coriaceum","30","1012.73","164.04","29.95","Solanum coriaceum","30","253.23","94.05","17.17","Solanum coriaceum","30","285.53","107.84","19.69","Solanum coriaceum","30","690.13","279.45","51.02","Solanum coriaceum","30","247.3","300.59","54.88"
"105","Physalis longifolia","119","110.82","34.42","3.16","Physalis longifolia","119","139.03","25.28","2.32","Physalis longifolia","119","35.38","6.43","0.59","Physalis longifolia","119","8774.13","1248.34","114.44","Physalis longifolia","119","310.87","27.44","2.52","Physalis longifolia","119","-78.12","44.77","4.1","Physalis longifolia","119","388.98","39.97","3.66","Physalis longifolia","119","178.65","61.6","5.65","Physalis longifolia","119","37.6","93.74","8.59","Physalis longifolia","119","222.24","27.9","2.56","Physalis longifolia","119","-4.11","45.69","4.19","Physalis longifolia","119","678.05","314.17","28.8","Physalis longifolia","119","88.97","31.75","2.91","Physalis longifolia","119","29.01","22.22","2.04","Physalis longifolia","119","39.11","21.1","1.93","Physalis longifolia","119","240.55","86.84","7.96","Physalis longifolia","119","102.66","74.08","6.79","Physalis longifolia","119","206.4","85","7.79","Physalis longifolia","119","120.82","87.56","8.03","Physalis longifolia","119","760.08","642.83","58.93"
"106","Solanum ursinum","14","166.93","48.03","12.84","Solanum ursinum","14","138.14","16.3","4.36","Solanum ursinum","14","74.36","5.67","1.52","Solanum ursinum","14","1238.29","556.34","148.69","Solanum ursinum","14","252","47.09","12.59","Solanum ursinum","14","67","53.82","14.38","Solanum ursinum","14","185","18.96","5.07","Solanum ursinum","14","175.21","50.68","13.54","Solanum ursinum","14","151.57","49.26","13.17","Solanum ursinum","14","179.71","49.4","13.2","Solanum ursinum","14","148.86","47","12.56","Solanum ursinum","14","1204.5","474.35","126.78","Solanum ursinum","14","197.93","54.08","14.45","Solanum ursinum","14","24","20.02","5.35","Solanum ursinum","14","64.64","13.33","3.56","Solanum ursinum","14","555.79","165.6","44.26","Solanum ursinum","14","90.57","63.91","17.08","Solanum ursinum","14","404.5","81.95","21.9","Solanum ursinum","14","97.5","63.14","16.87","Solanum ursinum","14","2210.07","1072.27","286.58"
"107","Solanum argentinum","51","198.31","29.73","4.16","Solanum argentinum","51","136.88","10.73","1.5","Solanum argentinum","51","53.22","5.42","0.76","Solanum argentinum","51","4092.78","911.5","127.64","Solanum argentinum","51","320.43","30.13","4.22","Solanum argentinum","51","62.53","37.75","5.29","Solanum argentinum","51","257.9","34.27","4.8","Solanum argentinum","51","242.75","27.38","3.83","Solanum argentinum","51","146.24","37.27","5.22","Solanum argentinum","51","246.75","28.48","3.99","Solanum argentinum","51","142.63","34.67","4.85","Solanum argentinum","51","698.94","258.48","36.19","Solanum argentinum","51","128.84","42.26","5.92","Solanum argentinum","51","8.33","10.04","1.41","Solanum argentinum","51","77.08","15.04","2.11","Solanum argentinum","51","351.61","114.22","15.99","Solanum argentinum","51","32.35","35.32","4.95","Solanum argentinum","51","344.31","112.79","15.79","Solanum argentinum","51","36.92","36.71","5.14","Solanum argentinum","51","641.41","675.85","94.64"
"108","Solanum myriacanthum","45","217.07","31.07","4.63","Solanum myriacanthum","45","116.49","19.84","2.96","Solanum myriacanthum","45","65.18","6.65","0.99","Solanum myriacanthum","45","1855","846.45","126.18","Solanum myriacanthum","45","305.78","30.6","4.56","Solanum myriacanthum","45","126.56","42.81","6.38","Solanum myriacanthum","45","179.22","35.96","5.36","Solanum myriacanthum","45","229.13","31.45","4.69","Solanum myriacanthum","45","204.22","39.95","5.96","Solanum myriacanthum","45","237.47","31.65","4.72","Solanum myriacanthum","45","190.82","33.99","5.07","Solanum myriacanthum","45","1728.22","702.71","104.75","Solanum myriacanthum","45","327.04","115.05","17.15","Solanum myriacanthum","45","29.33","26.67","3.98","Solanum myriacanthum","45","77.07","16.51","2.46","Solanum myriacanthum","45","845.13","316.96","47.25","Solanum myriacanthum","45","102.89","91.19","13.59","Solanum myriacanthum","45","457.07","172.61","25.73","Solanum myriacanthum","45","168.8","161.71","24.11","Solanum myriacanthum","45","901.84","594.55","88.63"
"109","Petunia integrifolia","59","189.12","17.61","2.29","Petunia integrifolia","59","108.97","16.03","2.09","Petunia integrifolia","59","50.32","3.89","0.51","Petunia integrifolia","59","3647.59","561.83","73.14","Petunia integrifolia","59","300.92","25.3","3.29","Petunia integrifolia","59","86.49","18.41","2.4","Petunia integrifolia","59","214.42","27.56","3.59","Petunia integrifolia","59","199.63","39.19","5.1","Petunia integrifolia","59","165.71","33.91","4.41","Petunia integrifolia","59","234.81","20.9","2.72","Petunia integrifolia","59","142.86","17.32","2.25","Petunia integrifolia","59","1470.27","257.35","33.5","Petunia integrifolia","59","159.44","26.42","3.44","Petunia integrifolia","59","86.1","28.22","3.67","Petunia integrifolia","59","18.95","9.48","1.23","Petunia integrifolia","59","435.49","66.3","8.63","Petunia integrifolia","59","290.27","90.04","11.72","Petunia integrifolia","59","400.37","76.7","9.99","Petunia integrifolia","59","314.1","101.03","13.15","Petunia integrifolia","59","250.75","300.94","39.18"
"110","Solanum colombianum","26","142.77","46.02","9.03","Solanum colombianum","26","97.46","11.41","2.24","Solanum colombianum","26","85.58","4.8","0.94","Solanum colombianum","26","360.5","139.13","27.29","Solanum colombianum","26","200.5","48.93","9.6","Solanum colombianum","26","86.88","45.39","8.9","Solanum colombianum","26","113.62","14.63","2.87","Solanum colombianum","26","142.15","45.95","9.01","Solanum colombianum","26","142.23","47.48","9.31","Solanum colombianum","26","146.27","46.54","9.13","Solanum colombianum","26","137.31","45.89","9","Solanum colombianum","26","1858.77","696.4","136.58","Solanum colombianum","26","242.23","92.42","18.13","Solanum colombianum","26","74.58","38.45","7.54","Solanum colombianum","26","34.73","11.87","2.33","Solanum colombianum","26","658.96","256.8","50.36","Solanum colombianum","26","268.54","124.17","24.35","Solanum colombianum","26","470.04","188.25","36.92","Solanum colombianum","26","485.23","286.57","56.2","Solanum colombianum","26","2439.73","839.7","164.68"
"111","Solanum bolivianum","8","178.25","30.56","10.8","Solanum bolivianum","8","136","16.88","5.97","Solanum bolivianum","8","71","3.02","1.07","Solanum bolivianum","8","1514.12","306.73","108.45","Solanum bolivianum","8","263.25","24.14","8.53","Solanum bolivianum","8","72.62","42.34","14.97","Solanum bolivianum","8","190.62","24.01","8.49","Solanum bolivianum","8","191.62","30.41","10.75","Solanum bolivianum","8","157","30.39","10.74","Solanum bolivianum","8","193.12","29.76","10.52","Solanum bolivianum","8","156.25","30.78","10.88","Solanum bolivianum","8","1256.75","709.86","250.97","Solanum bolivianum","8","218.62","108.18","38.25","Solanum bolivianum","8","26.62","29.58","10.46","Solanum bolivianum","8","68.38","10.86","3.84","Solanum bolivianum","8","605","276.84","97.88","Solanum bolivianum","8","98.5","97.85","34.6","Solanum bolivianum","8","474.25","172.07","60.84","Solanum bolivianum","8","104","95.62","33.81","Solanum bolivianum","8","2069.5","723.74","255.88"
"112","Solanum berthaultii","15","150.67","37.88","9.78","Solanum berthaultii","15","156.27","24.06","6.21","Solanum berthaultii","15","61.93","5.28","1.36","Solanum berthaultii","15","3132.4","924.04","238.59","Solanum berthaultii","15","261.4","30.83","7.96","Solanum berthaultii","15","9.47","54.4","14.05","Solanum berthaultii","15","251.93","40.59","10.48","Solanum berthaultii","15","182.07","35.21","9.09","Solanum berthaultii","15","107","44.05","11.37","Solanum berthaultii","15","184","35.73","9.23","Solanum berthaultii","15","106.07","44.71","11.54","Solanum berthaultii","15","500","214.87","55.48","Solanum berthaultii","15","112.67","41.1","10.61","Solanum berthaultii","15","2.47","3.18","0.82","Solanum berthaultii","15","98.4","11.72","3.03","Solanum berthaultii","15","303.13","109.93","28.38","Solanum berthaultii","15","11","10.5","2.71","Solanum berthaultii","15","258.13","107.04","27.64","Solanum berthaultii","15","11.87","10.09","2.61","Solanum berthaultii","15","2410.87","859.4","221.9"
"113","Solanum uncinellum","150","245.86","26.88","2.19","Solanum uncinellum","150","104.16","17.65","1.44","Solanum uncinellum","150","77.57","8.68","0.71","Solanum uncinellum","150","795.51","731.37","59.72","Solanum uncinellum","150","314.32","28.31","2.31","Solanum uncinellum","150","178.13","38.24","3.12","Solanum uncinellum","150","136.19","33.78","2.76","Solanum uncinellum","150","247.11","25.73","2.1","Solanum uncinellum","150","241.19","33.27","2.72","Solanum uncinellum","150","254.69","26.53","2.17","Solanum uncinellum","150","234.9","30.99","2.53","Solanum uncinellum","150","2207.4","839.17","68.52","Solanum uncinellum","150","322.37","101.74","8.31","Solanum uncinellum","150","70.07","64.71","5.28","Solanum uncinellum","150","49.68","19.57","1.6","Solanum uncinellum","150","881.88","275.94","22.53","Solanum uncinellum","150","245.26","207.02","16.9","Solanum uncinellum","150","472.12","265.69","21.69","Solanum uncinellum","150","513.83","381.26","31.13","Solanum uncinellum","150","392.69","515.11","42.06"
"114","Dunalia brachyacantha","27","142.81","36.55","7.03","Dunalia brachyacantha","27","149.59","18.03","3.47","Dunalia brachyacantha","27","60.11","8.81","1.7","Dunalia brachyacantha","27","3285.07","1251.75","240.9","Dunalia brachyacantha","27","256.59","42.74","8.23","Dunalia brachyacantha","27","6.52","39.4","7.58","Dunalia brachyacantha","27","250.07","30.39","5.85","Dunalia brachyacantha","27","177.41","45.94","8.84","Dunalia brachyacantha","27","101.37","34.94","6.72","Dunalia brachyacantha","27","180","46.35","8.92","Dunalia brachyacantha","27","97.11","32.82","6.32","Dunalia brachyacantha","27","540.89","182.05","35.04","Dunalia brachyacantha","27","113.26","31.06","5.98","Dunalia brachyacantha","27","4.63","4.73","0.91","Dunalia brachyacantha","27","89.07","14.59","2.81","Dunalia brachyacantha","27","306.26","86.4","16.63","Dunalia brachyacantha","27","19.37","15.03","2.89","Dunalia brachyacantha","27","271.93","82.96","15.97","Dunalia brachyacantha","27","20.59","15.53","2.99","Dunalia brachyacantha","27","2356.67","1093.13","210.37"
"115","Solanum diphyllum","65","241.97","29.98","3.72","Solanum diphyllum","65","117.46","20.23","2.51","Solanum diphyllum","65","64.88","8.04","1","Solanum diphyllum","65","1994.26","894.61","110.96","Solanum diphyllum","65","329.88","24.41","3.03","Solanum diphyllum","65","148.65","41.79","5.18","Solanum diphyllum","65","181.23","32.57","4.04","Solanum diphyllum","65","254.91","30.57","3.79","Solanum diphyllum","65","229.28","36.38","4.51","Solanum diphyllum","65","263.51","29.14","3.61","Solanum diphyllum","65","213.83","34.93","4.33","Solanum diphyllum","65","1501.06","701.76","87.04","Solanum diphyllum","65","298.54","121.49","15.07","Solanum diphyllum","65","24","23.76","2.95","Solanum diphyllum","65","80.97","21.85","2.71","Solanum diphyllum","65","761.46","320.85","39.8","Solanum diphyllum","65","86.17","80.23","9.95","Solanum diphyllum","65","453.12","200.34","24.85","Solanum diphyllum","65","148.31","144.26","17.89","Solanum diphyllum","65","442.86","621.85","77.13"
"116","Solanum lanceolatum","69","204.42","40.11","4.83","Solanum lanceolatum","69","127.7","24.09","2.9","Solanum lanceolatum","69","66.64","5.53","0.67","Solanum lanceolatum","69","1741.46","675.66","81.34","Solanum lanceolatum","69","297.51","38.46","4.63","Solanum lanceolatum","69","106.9","48.78","5.87","Solanum lanceolatum","69","190.61","34.07","4.1","Solanum lanceolatum","69","215.13","41.59","5.01","Solanum lanceolatum","69","192.57","43.38","5.22","Solanum lanceolatum","69","223.7","41.7","5.02","Solanum lanceolatum","69","179.8","39.58","4.76","Solanum lanceolatum","69","1340.38","657.83","79.19","Solanum lanceolatum","69","267.83","111.22","13.39","Solanum lanceolatum","69","16.87","21.39","2.58","Solanum lanceolatum","69","86.17","19.1","2.3","Solanum lanceolatum","69","702.48","298.35","35.92","Solanum lanceolatum","69","62.57","73.14","8.81","Solanum lanceolatum","69","396.35","179.02","21.55","Solanum lanceolatum","69","103","131.66","15.85","Solanum lanceolatum","69","1260.55","829.45","99.85"
"117","Solanum turneroides","30","224.2","24.79","4.53","Solanum turneroides","30","122.47","11.57","2.11","Solanum turneroides","30","60.07","6.09","1.11","Solanum turneroides","30","2763","793.96","144.96","Solanum turneroides","30","317.37","25.14","4.59","Solanum turneroides","30","113.2","35.79","6.53","Solanum turneroides","30","204.17","29.61","5.41","Solanum turneroides","30","250.47","24.7","4.51","Solanum turneroides","30","190.57","27.35","4.99","Solanum turneroides","30","254.4","24.84","4.54","Solanum turneroides","30","185.47","27.76","5.07","Solanum turneroides","30","1117.03","396.5","72.39","Solanum turneroides","30","173.93","46.66","8.52","Solanum turneroides","30","29.2","24.67","4.5","Solanum turneroides","30","59.1","23.31","4.26","Solanum turneroides","30","476.47","124.73","22.77","Solanum turneroides","30","104.1","83.59","15.26","Solanum turneroides","30","427.37","87.87","16.04","Solanum turneroides","30","124.07","89.28","16.3","Solanum turneroides","30","580.57","545.92","99.67"
"118","Lycianthes amatitlanensis","34","226.29","43.45","7.45","Lycianthes amatitlanensis","34","95.85","14.24","2.44","Lycianthes amatitlanensis","34","77.71","7.56","1.3","Lycianthes amatitlanensis","34","713.5","385.92","66.18","Lycianthes amatitlanensis","34","290.15","47.08","8.07","Lycianthes amatitlanensis","34","166.47","44.69","7.66","Lycianthes amatitlanensis","34","123.68","22.75","3.9","Lycianthes amatitlanensis","34","225.56","43.77","7.51","Lycianthes amatitlanensis","34","225.82","44.86","7.69","Lycianthes amatitlanensis","34","234.65","45.19","7.75","Lycianthes amatitlanensis","34","216.41","42.68","7.32","Lycianthes amatitlanensis","34","2573.21","830.36","142.41","Lycianthes amatitlanensis","34","385.18","131.69","22.58","Lycianthes amatitlanensis","34","76.35","66.24","11.36","Lycianthes amatitlanensis","34","49.97","22.1","3.79","Lycianthes amatitlanensis","34","1009.41","335.37","57.52","Lycianthes amatitlanensis","34","275.71","210.9","36.17","Lycianthes amatitlanensis","34","543.06","245.16","42.04","Lycianthes amatitlanensis","34","633.12","394.99","67.74","Lycianthes amatitlanensis","34","762.29","828.23","142.04"
"119","Melananthus guatemalensis","8","235.62","28.45","10.06","Melananthus guatemalensis","8","117.75","17.49","6.18","Melananthus guatemalensis","8","72.25","3.69","1.3","Melananthus guatemalensis","8","1048","272.32","96.28","Melananthus guatemalensis","8","316.38","28.07","9.92","Melananthus guatemalensis","8","154.5","32.32","11.43","Melananthus guatemalensis","8","161.88","21.84","7.72","Melananthus guatemalensis","8","240.75","29.61","10.47","Melananthus guatemalensis","8","226.88","29.81","10.54","Melananthus guatemalensis","8","247.25","29.91","10.57","Melananthus guatemalensis","8","221","27.31","9.66","Melananthus guatemalensis","8","1319.25","309.39","109.39","Melananthus guatemalensis","8","289.25","80.38","28.42","Melananthus guatemalensis","8","5.5","4.44","1.57","Melananthus guatemalensis","8","94","12.21","4.32","Melananthus guatemalensis","8","701.38","199.5","70.53","Melananthus guatemalensis","8","22.62","15.31","5.41","Melananthus guatemalensis","8","341.5","78.89","27.89","Melananthus guatemalensis","8","111.25","179.39","63.42","Melananthus guatemalensis","8","693.62","540.77","191.19"
