"","Clade","ObsSt","Alpha","Sigma","Optim"
"Rubus_hoffmeisterianus","Rosaceae","Biotic",0.645184032432678,0.0895047533471198,7.07624700974891
"Rubus_biflorus","Rosaceae","Biotic",0.645186687360144,0.0895249710197338,7.07604567419139
"Rubus_alexeterius","Rosaceae","Biotic",0.645186687360144,0.0895249710197338,7.07604567419139
"Rubus_niveus","Rosaceae","Biotic",0.645185849114126,0.0895154856382413,7.07611263705927
"Rubus_ursinus","Rosaceae","Biotic",0.645186218263538,0.0895491561264131,7.07605740110907
"Rubus_macraei","Rosaceae","Biotic",0.645186218263538,0.0895491561264131,7.07605740110907
"Rubus_arizonensis","Rosaceae","Biotic",0.645183774920389,0.0895187751230987,7.07625491445848
"Rubus_discolor","Rosaceae","Biotic",0.645185557574203,0.089545149844277,7.07610371016492
"Rubus_parvus","Rosaceae","Biotic",0.645187317979939,0.0895678755845838,7.07595932122505
"Rubus_canescens","Rosaceae","Biotic",0.645187317979939,0.0895678755845838,7.07595932122505
"Rubus_geoides","Rosaceae","Biotic",0.645186668827269,0.0895598846265954,7.07601151663941
"Rubus_gunnianus","Rosaceae","Biotic",0.645186936461574,0.0895632662476318,7.07598986963687
"Rubus_moorei","Rosaceae","Biotic",0.645186936461574,0.0895632662476318,7.07598986963687
"Rubus_nivalis","Rosaceae","Biotic",0.645184545510556,0.0895307484288322,7.07618896828869
"Rubus_roseus","Rosaceae","Biotic",0.645188022953098,0.0895731204112189,7.07590620731269
"Rubus_glabratus","Rosaceae","Biotic",0.645188204399264,0.0895752369230733,7.07589179259567
"Rubus_nubigenus","Rosaceae","Biotic",0.645188204399264,0.0895752369230733,7.07589179259567
"Rubus_urticifolius","Rosaceae","Biotic",0.645187853594412,0.0895801484076598,7.07590937781027
"Rubus_praecox","Rosaceae","Biotic",0.645187901858918,0.089580741998624,7.07590550028602
"Rubus_alpinus","Rosaceae","Biotic",0.645187901858918,0.089580741998624,7.07590550028602
"Rubus_trivialis","Rosaceae","Biotic",0.645188224777003,0.0895855739369676,7.0758775712344
"Rubus_plicatus","Rosaceae","Biotic",0.645188395479106,0.089587675622756,7.07586369515254
"Rubus_canadensis","Rosaceae","Biotic",0.645188395479106,0.089587675622756,7.07586369515254
"Rubus_setosus","Rosaceae","Biotic",0.645188621113959,0.089590400942131,7.07584562901333
"Rubus_pensilvanicus","Rosaceae","Biotic",0.645188621113959,0.089590400942131,7.07584562901333
"Rubus_hispidus","Rosaceae","Biotic",0.645188902826549,0.0895937695185578,7.07582244252046
"Rubus_flagellaris","Rosaceae","Biotic",0.645188921045064,0.0895939877969095,7.07582097437158
"Rubus_argutus","Rosaceae","Biotic",0.645188931934168,0.0895941186698117,7.07582010401938
"Rubus_cuneifolius","Rosaceae","Biotic",0.645188931934168,0.0895941186698117,7.07582010401938
"Rubus_nessensis","Rosaceae","Biotic",0.645188207105652,0.0895853493382594,7.07587902827671
"Rubus_sapidus","Rosaceae","Biotic",0.645188180217058,0.0895850038410191,7.07588124809155
"Rubus_hochstetterorum","Rosaceae","Biotic",0.645187877890125,0.0895810619415594,7.0759062700967
"Rubus_glaucus","Rosaceae","Biotic",0.645187696953697,0.0895786576447854,7.0759212946782
"Rubus_allegheniensis","Rosaceae","Biotic",0.645187315124585,0.0895734709754864,7.07595312344552
"Rubus_divaricatus","Rosaceae","Biotic",0.645187885623891,0.0895798356631706,7.07590665782972
"Rubus_vigorosus","Rosaceae","Biotic",0.645188840741488,0.0895914216462521,7.07582890829914
"Rubus_ulmifolius","Rosaceae","Biotic",0.645189095630851,0.0895944244258091,7.07580844281776
"Rubus_sanctus","Rosaceae","Biotic",0.645189095630851,0.0895944244258091,7.07580844281776
"Rubus_bifrons","Rosaceae","Biotic",0.645188344034441,0.0895854835357612,7.07586905784534
"Rubus_sulcatus","Rosaceae","Biotic",0.645188692493154,0.0895896954878487,7.07584091279184
"Rubus_caesius","Rosaceae","Biotic",0.645188692493154,0.0895896954878487,7.07584091279184
"Rubus_pedemontanus","Rosaceae","Biotic",0.645189031260693,0.0895936738042382,7.07581371095739
"Rubus_caucasicus","Rosaceae","Biotic",0.645189031260693,0.0895936738042382,7.07581371095739
"Rubus_fruticosus","Rosaceae","Biotic",0.645180288427705,0.0894498629118042,7.07656593652198
"Rubus_arcticus","Rosaceae","Biotic",0.6451836191707,0.0894956783103277,7.07629140490213
"Rubus_pubescens","Rosaceae","Biotic",0.6451836191707,0.0894956783103277,7.07629140490213
"Rubus_ellipticus","Rosaceae","Biotic",0.645185852892039,0.0895266942385677,7.07610581535357
"Rubus_wallichianus","Rosaceae","Biotic",0.645185852892039,0.0895266942385677,7.07610581535357
"Rubus_humulifolius","Rosaceae","Biotic",0.645182680297809,0.089488499478152,7.07636152845722
"Rubus_pectinellus","Rosaceae","Biotic",0.645182782396503,0.0894940020698062,7.07634779234994
"Rubus_trianthus","Rosaceae","Biotic",0.645185546626175,0.0895313152758666,7.07611945019388
"Rubus_crataegifolius","Rosaceae","Biotic",0.645185546626175,0.0895313152758666,7.07611945019388
"Rubus_trifidus","Rosaceae","Biotic",0.645184044726984,0.0895121843461465,7.07624130812882
"Rubus_macilentus","Rosaceae","Biotic",0.645186637952673,0.0895434327233657,7.07603139448667
"Rubus_eustephanos","Rosaceae","Biotic",0.645186637952673,0.0895434327233657,7.07603139448667
"Rubus_sumatranus","Rosaceae","Biotic",0.645184705148955,0.0895211805386924,7.07618957401005
"Rubus_rosifolius","Rosaceae","Biotic",0.645184705148955,0.0895211805386924,7.07618957401005
"Rubus_tsangii","Rosaceae","Biotic",0.645186063622177,0.0895360056481655,7.07608118093727
"Rubus_amabilis","Rosaceae","Biotic",0.645186063622177,0.0895360056481655,7.07608118093727
"Rubus_hirsutus","Rosaceae","Biotic",0.645182525169627,0.0894925931973691,7.07636753167346
"Rubus_hongnoensis","Rosaceae","Biotic",0.645184254940934,0.0895173857159674,7.07622337656738
"Rubus_croceacanthus","Rosaceae","Biotic",0.645184254940934,0.0895173857159674,7.07622337656738
"Rubus_illecebrosus","Rosaceae","Biotic",0.645183602251781,0.0895085327848947,7.07627696954334
"Rubus_ribisoideus","Rosaceae","Biotic",0.645183151691522,0.0894992011427089,7.07631850162506
"Rubus_longisepalus","Rosaceae","Biotic",0.645183151691522,0.0894992011427089,7.07631850162506
"Rubus_palmatus","Rosaceae","Biotic",0.645182500083787,0.0894899163646708,7.07637249751696
"Rubus_corchorifolius","Rosaceae","Biotic",0.645185158764828,0.0895217980956718,7.07615868469488
"Rubus_chingii","Rosaceae","Biotic",0.645185158764828,0.0895217980956718,7.07615868469488
"Rubus_idaeopsis","Rosaceae","Biotic",0.645187185238975,0.0895630514375423,7.07597176860404
"Rubus_saxatilis","Rosaceae","Biotic",0.645187244580989,0.0895637791492315,7.07596694381013
"Rubus_leucodermis","Rosaceae","Biotic",0.645188264027288,0.0895758429599783,7.07588503046525
"Rubus_occidentalis","Rosaceae","Biotic",0.645188264027288,0.0895758429599783,7.07588503046525
"Rubus_lineatus","Rosaceae","Biotic",0.645186877373484,0.0895637149371829,7.07599269270608
"Rubus_calophyllus","Rosaceae","Biotic",0.645186877373484,0.0895637149371829,7.07599269270608
"Rubus_amphidasys","Rosaceae","Biotic",0.645188974948432,0.0895904685008097,7.07581987967244
"Rubus_rufus","Rosaceae","Biotic",0.645189087221038,0.0895918081353462,7.07581087548186
"Rubus_pluribracteatus","Rosaceae","Biotic",0.645189087221038,0.0895918081353462,7.07581087548186
"Rubus_hunanensis","Rosaceae","Biotic",0.645189017962988,0.0895909803286574,7.07581640556011
"Rubus_irenaeus","Rosaceae","Biotic",0.64518900252849,0.0895907963636085,7.07581764874494
"Rubus_cochinchinensis","Rosaceae","Biotic",0.645188535195768,0.0895850922321828,7.07585699243227
