"","Clade","ObsSt","Alpha","Sigma","Optim"
"Meriania_urceolata","Melastomataceae","Abiotic",0.181988095569691,5.51794242260415e-05,5.68200464897322
"Meriania_sclerophylla","Melastomataceae","Abiotic",0.181988095569691,5.51922339715241e-05,5.68199735457778
"Meriania_calophylla","Melastomataceae","Abiotic",0.181988095569691,5.51922339715241e-05,5.68199735457778
"Meriania_subumbellata","Melastomataceae","Abiotic",0.181988095569691,5.5208307829602e-05,5.68198782545621
"Adelobotrys_barbata","Melastomataceae","Abiotic",0.181988095569691,5.52163204420736e-05,5.68198324075161
"Adelobotrys_adscendens","Melastomataceae","Abiotic",0.181988095569691,5.52409833030882e-05,5.68196923217605
"Adelobotrys_permixta","Melastomataceae","Abiotic",0.181988095569691,5.52409833030882e-05,5.68196923217605
"Adelobotrys_spruceana","Melastomataceae","Abiotic",0.181988095569691,5.52403512923823e-05,5.68196957080832
"Adelobotrys_tessmannii","Melastomataceae","Abiotic",0.181988095569691,5.52480681730413e-05,5.68196521206691
"Adelobotrys_boissieriana","Melastomataceae","Abiotic",0.181988095569691,5.52629830343271e-05,5.68195685077908
"Adelobotrys_subsessilis","Melastomataceae","Abiotic",0.181988095569691,5.52629830343271e-05,5.68195685077908
"Adelobotrys_macrantha","Melastomataceae","Abiotic",0.181988095569691,5.52632159081649e-05,5.68195672099862
"Adelobotrys_scandens","Melastomataceae","Abiotic",0.181988095569691,5.52632159081649e-05,5.68195672099862
"Graffenrieda_gracilis","Melastomataceae","Abiotic",0.181988095569691,5.51722058224691e-05,5.68200872183567
"Graffenrieda_moritziana","Melastomataceae","Abiotic",0.181988095569691,5.51722058224691e-05,5.68200872183567
"Graffenrieda_hitchcockii","Melastomataceae","Abiotic",0.181988095569691,5.51882251451123e-05,5.68199923807927
"Graffenrieda_rotundifolia","Melastomataceae","Abiotic",0.181988095569691,5.51882251451123e-05,5.68199923807927
"Graffenrieda_intermedia","Melastomataceae","Abiotic",0.181988095569691,5.51883357532234e-05,5.68199914501919
"Adelobotrys_praetexta","Melastomataceae","Abiotic",0.181988095569691,5.51924871150924e-05,5.68199674196248
"Graffenrieda_moaensis","Melastomataceae","Abiotic",0.181988095569691,5.52004629921029e-05,5.68199218563552
"Graffenrieda_weddellii","Melastomataceae","Abiotic",0.181988095569691,5.52004629921029e-05,5.68199218563552
