"","species","n_bio1","mean_bio1","sd_bio1","se_bio1","within_sp_var_bio1","species.1","n_bio12","mean_bio12","sd_bio12","se_bio12","within_sp_var_bio12","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"66","Geum rossii","85","-7.091765","7.641977","0.828889","0.18748","Geum rossii","85","440.611765","253.476499","27.493386","1672.572544","Geum rossii","83","748.289157","386.547966","42.429151","551.643575","Geum rossii","83","6812.060241","3625.200537","397.917454","344004.090393"
"67","Rosa sherardii","65","6.941538","1.351376","0.167618","0.245166","Rosa sherardii","65","755.353846","293.296322","36.378931","2187.21025","Rosa sherardii","63","731.333333","45.2641","5.702741","726.76852","Rosa sherardii","63","10537.888889","4230.392806","532.979396","453211.738137"
"68","Spiraea mongolica","31","5.609677","5.101592","0.916273","0.514057","Spiraea mongolica","31","603.322581","269.203193","48.350321","4586.086009","Spiraea mongolica","31","1059.83871","260.412122","46.771398","1476.981186","Spiraea mongolica","31","6469.870968","4492.325936","806.845557","921043.209763"
"69","Prunus maximowiczii","55","6.6","4.177807","0.563335","0.289741","Prunus maximowiczii","55","1384","580.616275","78.290283","2584.884841","Prunus maximowiczii","53","919.735849","158.343851","21.750201","863.894656","Prunus maximowiczii","53","14687.716981","6284.228483","863.205168","538723.386842"
"70","Lachemilla pectinata","12","16.241667","3.935031","1.135946","1.327981","Lachemilla pectinata","12","1318.583333","472.000666","136.254856","11847.388857","Lachemilla pectinata","12","1522.25","194.666673","56.195428","3815.53473","Lachemilla pectinata","12","7666.75","3485.297408","1006.118698","2379361.62522"
"71","Prunus brachybotrya","55","18.601818","3.997893","0.539076","0.289741","Prunus brachybotrya","55","1505.8","731.536774","98.640398","2584.884841","Prunus brachybotrya","55","1672.309091","155.552644","20.974714","832.480305","Prunus brachybotrya","55","8409.4","3682.530066","496.552253","519133.445503"
"72","Potentilla anglica","52","7.759615","1.257645","0.174404","0.306457","Potentilla anglica","52","707.903846","272.809656","37.831892","2734.012813","Potentilla anglica","48","784.666667","85.962964","12.407685","953.883682","Potentilla anglica","48","9732.708333","4982.06737","719.099484","594840.406305"
"73","Rosa carolina","81","7.374074","2.84784","0.316427","0.196738","Rosa carolina","81","1142.271605","133.983022","14.887002","1755.168719","Rosa carolina","72","983.555556","195.018012","22.983093","635.922455","Rosa carolina","72","12271.430556","3495.254928","411.919744","396560.27087"
"74","Amelanchier laevis","195","6.390769","3.072545","0.22003","0.081722","Amelanchier laevis","195","972.861538","208.375866","14.922106","729.070083","Amelanchier laevis","193","971.994819","168.940895","12.160632","237.23532","Amelanchier laevis","193","10538.19171","3152.140323","226.896025","147939.582915"
"75","Rosa nitida","67","3.89403","3.029595","0.370124","0.237847","Rosa nitida","67","1086.731343","200.995973","24.555566","2121.920392","Rosa nitida","62","802.322581","134.987404","17.143417","738.490593","Rosa nitida","62","14639.645161","3743.403523","475.412723","460521.604881"
"76","Rosa gallica","112","9.671429","3.18842","0.301277","0.142284","Rosa gallica","112","698.053571","186.443134","17.61722","1269.363092","Rosa gallica","108","1047.222222","284.084144","27.33601","423.948303","Rosa gallica","108","7194.12037","2683.118181","258.183167","264373.513913"
"77","Sorbus decora","191","2.150785","3.458123","0.250221","0.083433","Sorbus decora","191","857.670157","207.55413","15.01809","744.338567","Sorbus decora","185","796.086486","139.80364","10.278568","247.494145","Sorbus decora","185","11275.027027","3306.025721","243.063845","154336.970285"
"78","Crataegus chrysocarpa","172","4.98314","2.397783","0.182829","0.09265","Crataegus chrysocarpa","172","750.377907","243.47192","18.56456","826.562013","Crataegus chrysocarpa","170","1004.929412","208.48165","15.989813","269.331863","Crataegus chrysocarpa","170","8118.376471","3282.094688","251.725172","167954.938251"
"79","Agrimonia gryposepala","187","7.320321","2.726929","0.199413","0.085218","Agrimonia gryposepala","187","933.647059","229.000572","16.74618","760.260247","Agrimonia gryposepala","183","1055.087432","188.415087","13.928044","250.198999","Agrimonia gryposepala","183","9207.31694","2742.860256","202.758064","156023.713129"
"80","Holodiscus discolor","111","8.961261","3.748046","0.355749","0.143566","Holodiscus discolor","111","880.594595","559.438881","53.099589","1280.798795","Holodiscus discolor","110","1362.654545","399.276328","38.069504","416.240152","Holodiscus discolor","110","8050.518182","7653.553756","729.737718","259566.722751"
"81","Rubus spectabilis","53","7.524528","3.619068","0.497117","0.300675","Rubus spectabilis","53","1482.566038","710.418958","97.583549","2682.427666","Rubus spectabilis","50","955.42","186.968958","26.441404","915.728335","Rubus spectabilis","50","17328.56","9535.666091","1348.546831","571046.790053"
"82","Rubus ursinus","71","11.128169","3.402906","0.403851","0.224447","Rubus ursinus","71","1126.492958","668.365274","79.320365","2002.375581","Rubus ursinus","68","1352.75","377.381171","45.764189","673.329658","Rubus ursinus","68","9867.911765","8057.222431","977.081739","419887.345627"
"83","Rubus canadensis","106","6.116981","2.520411","0.244804","0.150337","Rubus canadensis","106","1060.40566","192.776","18.72406","1341.213833","Rubus canadensis","104","937.509615","140.48287","13.775479","440.254007","Rubus canadensis","104","11889.711538","2979.62412","292.176183","274541.725987"
"84","Amelanchier canadensis","18","4.383333","1.940664","0.457419","0.885321","Amelanchier canadensis","18","1074.222222","173.557434","40.90788","7898.259238","Amelanchier canadensis","17","799.470588","98.557799","23.903777","2693.318633","Amelanchier canadensis","17","14505.235294","3713.234078","900.591548","1679549.382508"
"85","Rubus setosus","33","6.163636","2.348646","0.408847","0.482902","Rubus setosus","33","1082.30303","112.986306","19.668391","4308.141402","Rubus setosus","33","949.272727","138.480882","24.106427","1387.467175","Rubus setosus","33","12248.272727","2442.020082","425.101132","865222.409171"
"86","Rubus urticifolius","122","19.54918","3.158754","0.28598","0.130621","Rubus urticifolius","122","1832.245902","794.809269","71.95865","1165.316937","Rubus urticifolius","121","1416.727273","206.571416","18.77922","378.400139","Rubus urticifolius","121","12452.46281","4937.197797","448.836163","235969.747956"
"87","Rubus glabratus","6","9.266667","3.456974","1.411304","2.655962","Rubus glabratus","6","1202.166667","233.260727","95.228293","23694.777713","Rubus glabratus","6","981.666667","171.943789","70.195758","7631.06946","Rubus glabratus","6","11695.333333","2095.094811","855.318875","4758723.25044"
"88","Prunus annularis","6","17.583333","4.179194","1.706149","2.655962","Prunus annularis","6","2243","699.981714","285.766338","23694.777713","Prunus annularis","6","1460.666667","280.467229","114.500267","7631.06946","Prunus annularis","6","15003.666667","6998.906534","2857.291628","4758723.25044"
"89","Fragaria iinumae","21","6.190476","2.882691","0.629055","0.758846","Fragaria iinumae","21","1698.285714","324.023632","70.707753","6769.936489","Fragaria iinumae","21","781.761905","157.836911","34.442838","2180.30556","Fragaria iinumae","21","22094.761905","9289.634293","2027.164396","1359635.214411"
"90","Rosa brunonii","19","11.352632","5.97461","1.37067","0.838725","Rosa brunonii","19","978.210526","345.399057","79.239978","7482.561383","Rosa brunonii","19","1219.157895","268.162319","61.520655","2409.811408","Rosa brunonii","19","8020.157895","3348.322005","768.15775","1502754.710665"
"91","Potentilla hyparctica","319","-9.131975","6.026105","0.337397","0.049955","Potentilla hyparctica","319","368.755486","281.118179","15.739596","445.6698","Potentilla hyparctica","280","439.339286","198.195631","11.844454","163.522917","Potentilla hyparctica","281","11379.341637","13490.570636","804.779973","101609.74912"
"92","Rosa setigera","78","12.078205","2.793994","0.316358","0.204305","Rosa setigera","78","1045.153846","148.379566","16.800677","1822.675209","Rosa setigera","77","1320.467532","191.101006","21.777981","594.628789","Rosa setigera","77","8077.636364","1254.925474","143.01203","370809.60393"
"93","Cotoneaster franchetii","153","12.40719","3.070554","0.24824","0.104155","Cotoneaster franchetii","153","1144.405229","559.273018","45.214544","929.206969","Cotoneaster franchetii","147","1230.129252","231.973849","19.132881","311.472223","Cotoneaster franchetii","147","9464.136054","4654.611982","383.905926","194233.602059"
"94","Crataegus castlegarensis","50","6.698","2.491003","0.352281","0.318715","Crataegus castlegarensis","50","578.14","365.693806","51.716914","2843.373326","Crataegus castlegarensis","50","1229.9","199.49234","28.212477","915.728335","Crataegus castlegarensis","50","5141.82","4174.333786","590.339945","571046.790053"
"95","Crataegus maximowiczii","34","3.341176","2.922755","0.501248","0.468699","Crataegus maximowiczii","34","739.411765","153.792091","26.375126","4181.431361","Crataegus maximowiczii","34","942.647059","102.407943","17.562817","1346.659316","Crataegus maximowiczii","34","7753.823529","1697.897032","291.186939","839774.691254"
"96","Amelanchier alnifolia","31","7.609677","2.379405","0.427354","0.514057","Amelanchier alnifolia","31","554.903226","364.636655","65.490677","4586.086009","Amelanchier alnifolia","31","1265.290323","173.251877","31.116956","1476.981186","Amelanchier alnifolia","31","4751.451613","4027.067418","723.28266","921043.209763"
"97","Potentilla verna","88","8.427273","3.159795","0.336835","0.181088","Potentilla verna","88","751.465909","225.001198","23.985208","1615.553026","Potentilla verna","82","987.219512","277.619867","30.657986","558.370936","Potentilla verna","82","8251.829268","3675.294888","405.868423","348199.262227"
"98","Rosa agrestis","105","10.966667","3.252445","0.317406","0.151769","Rosa agrestis","105","744.114286","213.950044","20.879386","1353.987298","Rosa agrestis","104","1225.221154","253.619391","24.869427","440.254007","Rosa agrestis","104","6636.019231","3252.953048","318.97829","274541.725987"
