"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"70","Leucopogon concinnus","11","5.66644","0.002206","0.000665","2e-05","Leucopogon concinnus","11","6.331993","0.375377","0.11318","0.018109","Leucopogon concinnus","11","7.461488","0.092616","0.027925","0.003948","Leucopogon concinnus","11","8.042783","0.418802","0.126274","0.014669"
"71","Richea gunnii","6","5.635733","0.00448","0.001829","3.6e-05","Richea gunnii","6","7.329142","0.307671","0.125606","0.0332","Richea gunnii","6","6.812542","0.041379","0.016893","0.007238","Richea gunnii","6","9.787929","0.32741","0.133665","0.026894"
"72","Leucopogon muticus","37","5.669994","0.010173","0.001672","6e-06","Leucopogon muticus","37","6.630369","0.175849","0.028909","0.005384","Leucopogon muticus","37","7.447723","0.12131","0.019943","0.001174","Leucopogon muticus","37","8.40112","0.266364","0.04379","0.004361"
"73","Leucopogon ericoides","68","5.662243","0.008831","0.001071","3e-06","Leucopogon ericoides","68","6.7673","0.399207","0.048411","0.002929","Leucopogon ericoides","67","7.268401","0.159445","0.019479","0.000648","Leucopogon ericoides","67","8.722297","0.466133","0.056947","0.002408"
"74","Monotoca scoparia","70","5.663478","0.012978","0.001551","3e-06","Monotoca scoparia","70","6.877475","0.285429","0.034115","0.002846","Monotoca scoparia","67","7.305483","0.181981","0.022233","0.000648","Monotoca scoparia","67","8.765373","0.397617","0.048577","0.002408"
"75","Leucopogon conostephioides","28","5.673381","0.005685","0.001074","8e-06","Leucopogon conostephioides","28","6.155887","0.378854","0.071597","0.007114","Leucopogon conostephioides","28","7.627574","0.12127","0.022918","0.001551","Leucopogon conostephioides","28","7.726693","0.443412","0.083797","0.005763"
"76","Astroloma serratifolium","30","5.675637","0.006544","0.001195","7e-06","Astroloma serratifolium","30","5.944532","0.328622","0.059998","0.00664","Astroloma serratifolium","29","7.694469","0.120111","0.022304","0.001497","Astroloma serratifolium","29","7.419873","0.342009","0.063509","0.005564"
"77","Melichrus urceolatus","75","5.671198","0.011341","0.00131","3e-06","Melichrus urceolatus","75","6.583928","0.274043","0.031644","0.002656","Melichrus urceolatus","75","7.47242","0.153547","0.01773","0.000579","Melichrus urceolatus","75","8.34502","0.39054","0.045096","0.002152"
"78","Dracophyllum sayeri","1","5.669018",NA,NA,"0.000217","Dracophyllum sayeri","1","8.439015",NA,NA,"0.1992","Dracophyllum sayeri","1","7.26403",NA,NA,"0.043426","Dracophyllum sayeri","1","10.885023",NA,NA,"0.161363"
"79","Astroloma humifusum","83","5.663345","0.006875","0.000755","3e-06","Astroloma humifusum","83","6.403927","0.416611","0.045729","0.0024","Astroloma humifusum","79","7.400937","0.202628","0.022797","0.00055","Astroloma humifusum","79","8.228489","0.583444","0.065643","0.002043"
"80","Leucopogon pendulus","8","5.666769","0.003056","0.00108","2.7e-05","Leucopogon pendulus","8","6.604792","0.258485","0.091388","0.0249","Leucopogon pendulus","8","7.426854","0.092044","0.032542","0.005428","Leucopogon pendulus","8","8.369806","0.287628","0.101692","0.02017"
"81","Styphelia adscendens","26","5.657808","0.004774","0.000936","8e-06","Styphelia adscendens","26","6.656134","0.346427","0.06794","0.007662","Styphelia adscendens","25","7.176584","0.145997","0.029199","0.001737","Styphelia adscendens","25","8.739611","0.458019","0.091604","0.006455"
"82","Richea continentis","7","5.634343","0.005523","0.002087","3.1e-05","Richea continentis","7","7.191013","0.174531","0.065967","0.028457","Richea continentis","7","6.999924","0.0956","0.036133","0.006204","Richea continentis","7","9.537955","0.283383","0.107109","0.023052"
