"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"83","Clidemia alternifolia","6","24.2","0.493964","0.20166","1.071865","Clidemia alternifolia","6","3295.5","283.09698","115.573858","105524.472283","Clidemia alternifolia","6","1396.333333","64.580699","26.36496","4147.660256","Clidemia alternifolia","6","23162","2408.849518","983.408698","4743007.996559"
"84","Clidemia dimorphica","36","23.758333","1.788435","0.298073","0.178644","Clidemia dimorphica","36","2732.944444","970.598429","161.766405","17587.412047","Clidemia dimorphica","36","1259.027778","96.518684","16.086447","691.276709","Clidemia dimorphica","36","22248.888889","6932.375383","1155.395897","790501.33276"
"85","Miconia lappacea","11","24.727273","1.764704","0.532078","0.584654","Miconia lappacea","11","2825","771.276993","232.548763","57558.803064","Miconia lappacea","11","1522.818182","70.992701","21.405105","2262.360139","Miconia lappacea","11","17118.454545","2942.930083","887.326806","2587095.27085"
"86","Dolichoura spiritusanctensis","1","20.9",NA,NA,"6.431191","Dolichoura spiritusanctensis","1","1705",NA,NA,"633146.833701","Dolichoura spiritusanctensis","1","1244",NA,NA,"24885.961533","Dolichoura spiritusanctensis","1","10580",NA,NA,"28458047.979352"
"87","Phyllagathis gymnantha","13","23.638462","2.877365","0.798037","0.494707","Phyllagathis gymnantha","13","3419.153846","804.83009","223.219704","48703.602592","Phyllagathis gymnantha","13","1440.538462","74.969566","20.792816","1914.304733","Phyllagathis gymnantha","13","22412.230769","3934.186768","1091.147086","2189080.613796"
"88","Brachyotum microdon","13","11.946154","4.413543","1.224097","0.494707","Brachyotum microdon","13","1177.769231","553.471944","153.505498","48703.602592","Brachyotum microdon","13","1491.384615","158.401146","43.932573","1914.304733","Brachyotum microdon","13","5678.846154","1347.448629","373.715009","2189080.613796"
"89","Pterogastra minor","6","23.5","3.131773","1.278541","1.071865","Pterogastra minor","6","2798.666667","457.268266","186.678988","105524.472283","Pterogastra minor","6","1521","103.547091","42.272923","4147.660256","Pterogastra minor","6","15755.5","1985.395351","810.534258","4743007.996559"
"90","Miconia gracilis","46","22.476087","3.483497","0.513614","0.139808","Miconia gracilis","46","3225.304348","1136.513633","167.569793","13764.061602","Miconia gracilis","46","1507.021739","187.798768","27.689418","540.999164","Miconia gracilis","46","20323.369565","8477.833084","1249.988294","618653.216942"
"91","Memecylon englerianum","8","23.7375","1.933862","0.683723","0.803899","Memecylon englerianum","8","2341","1058.114496","374.099968","79143.354213","Memecylon englerianum","8","1408.75","184.732819","65.312915","3110.745192","Memecylon englerianum","8","15476.875","5648.708435","1997.12002","3557255.997419"
"92","Axinaea macrophylla","30","12.37","4.32492","0.789619","0.214373","Axinaea macrophylla","30","1635.033333","614.418283","112.176918","21104.894457","Axinaea macrophylla","30","1170.6","149.329213","27.263659","829.532051","Axinaea macrophylla","30","13694.1","5186.73708","946.9643","948601.599312"
"93","Miconia alata","96","25.186458","1.301547","0.132839","0.066992","Miconia alata","96","2208.291667","590.232941","60.240397","6595.279518","Miconia alata","97","1503.907216","141.671795","14.384591","256.556304","Miconia alata","97","14770.515464","3375.137312","342.693273","293381.937931"
"94","Miconia cuspidata","66","24.627273","1.790878","0.220442","0.097442","Miconia cuspidata","66","2007.166667","618.097717","76.08257","9593.133844","Miconia cuspidata","68","1467.073529","149.0113","18.070274","365.970023","Miconia cuspidata","68","13445.529412","4448.405143","539.448361","418500.705579"
