"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"43","Medinilla rubrifrons","4","5.692671","0.011615","0.005808","1.9e-05","Medinilla rubrifrons","4","7.900211","0.25832","0.12916","0.029649","Medinilla rubrifrons","3","7.274094","0.108492","0.062638","0.004095","Medinilla rubrifrons","3","9.904585","0.318841","0.184083","0.038929"
"44","Memecylon cantleyi","18","5.701368","0.003049","0.000719","4e-06","Memecylon cantleyi","18","7.835754","0.280278","0.066062","0.006589","Memecylon cantleyi","18","7.36855","0.062","0.014614","0.000682","Memecylon cantleyi","18","9.629677","0.269574","0.063539","0.006488"
"45","Memecylon macrodendron","10","5.695579","0.002762","0.000873","7e-06","Memecylon macrodendron","10","7.662164","0.343082","0.108492","0.011859","Memecylon macrodendron","10","7.105152","0.084139","0.026607","0.001228","Memecylon macrodendron","10","9.688455","0.208024","0.065783","0.011679"
"46","Aciotis indecora","143","5.696726","0.00722","0.000604","1e-06","Aciotis indecora","143","7.891744","0.348882","0.029175","0.000829","Aciotis indecora","140","7.303499","0.114072","0.009641","8.8e-05","Aciotis indecora","140","9.751559","0.326685","0.02761","0.000834"
"47","Miconia ampla","81","5.695537","0.005785","0.000643","1e-06","Miconia ampla","81","7.782715","0.381998","0.042444","0.001464","Miconia ampla","81","7.270912","0.123289","0.013699","0.000152","Miconia ampla","81","9.733546","0.378266","0.04203","0.001442"
"48","Warneckea wildeana","5","5.694699","0.004882","0.002183","1.5e-05","Warneckea wildeana","5","7.88054","0.163188","0.07298","0.023719","Warneckea wildeana","5","7.070254","0.086993","0.038904","0.002457","Warneckea wildeana","5","9.930725","0.044835","0.020051","0.023358"
"49","Dissotis perkinsiae","9","5.686657","0.009002","0.003001","8e-06","Dissotis perkinsiae","9","7.663622","0.279593","0.093198","0.013177","Dissotis perkinsiae","9","7.302069","0.100177","0.033392","0.001365","Dissotis perkinsiae","9","9.459958","0.306353","0.102118","0.012976"
"50","Osbeckia australiana","35","5.704289","0.002341","0.000396","2e-06","Osbeckia australiana","35","7.054379","0.289804","0.048986","0.003388","Osbeckia australiana","34","7.775642","0.085805","0.014715","0.000361","Osbeckia australiana","34","8.474981","0.3257","0.055857","0.003435"
"51","Miconia trimera","8","5.697803","0.002721","0.000962","9e-06","Miconia trimera","8","7.847037","0.242128","0.085605","0.014824","Miconia trimera","8","7.361846","0.01948","0.006887","0.001536","Miconia trimera","8","9.688339","0.119275","0.04217","0.014599"
"52","Tibouchina grossa","16","5.650381","0.011875","0.002969","5e-06","Tibouchina grossa","16","7.51543","0.330315","0.082579","0.007412","Tibouchina grossa","16","7.041911","0.091702","0.022926","0.000768","Tibouchina grossa","16","9.545338","0.237293","0.059323","0.007299"
"53","Memecylon arcuatomarginatum","1","5.699607",NA,NA,"7.5e-05","Memecylon arcuatomarginatum","1","7.928406",NA,NA,"0.118594","Memecylon arcuatomarginatum","1","7.160846",NA,NA,"0.012284","Memecylon arcuatomarginatum","1","9.917193",NA,NA,"0.116788"
"54","Blastus borneensis","21","5.688484","0.009997","0.002182","4e-06","Blastus borneensis","21","8.193261","0.248314","0.054187","0.005647","Blastus borneensis","21","7.237855","0.106471","0.023234","0.000585","Blastus borneensis","21","9.941953","0.235875","0.051472","0.005561"
"55","Clidemia graciliflora","9","5.692573","0.006268","0.002089","8e-06","Clidemia graciliflora","9","7.880155","0.246882","0.082294","0.013177","Clidemia graciliflora","9","7.162337","0.071792","0.023931","0.001365","Clidemia graciliflora","9","9.984941","0.344393","0.114798","0.012976"
"56","Lijndenia laurina","23","5.700823","0.006536","0.001363","3e-06","Lijndenia laurina","23","7.946517","0.29771","0.062077","0.005156","Lijndenia laurina","24","7.324048","0.078728","0.01607","0.000512","Lijndenia laurina","24","9.815114","0.282664","0.057699","0.004866"
"57","Memecylon caeruleum","12","5.692763","0.021681","0.006259","6e-06","Memecylon caeruleum","12","7.698793","0.381777","0.11021","0.009883","Memecylon caeruleum","12","7.322737","0.388689","0.112205","0.001024","Memecylon caeruleum","12","9.399086","0.615035","0.177545","0.009732"
